n przestawienia_dpqs porównania_dpqs
50 164 428
50 197 526
50 202 563
50 172 321
50 192 647
50 184 461
50 183 392
50 198 404
50 173 356
50 204 330
50 206 497
50 170 292
50 170 353
50 180 323
50 213 458
50 186 459
50 160 419
50 211 399
50 176 346
50 164 364
50 175 407
50 175 450
50 176 419
50 168 333
50 150 339
50 148 510
50 183 407
50 175 374
50 177 396
50 185 503
50 155 471
50 198 394
50 180 334
50 199 416
50 189 450
50 157 403
50 155 389
50 203 331
50 154 512
50 174 551
50 178 446
50 201 407
50 154 302
50 184 419
50 193 381
50 158 378
50 160 298
50 155 459
50 186 598
50 172 377
50 166 329
50 219 526
50 195 348
50 235 360
50 176 373
50 208 528
50 170 360
50 187 324
50 217 387
50 176 353
50 172 384
50 164 527
50 182 390
50 193 462
50 195 389
50 199 452
50 172 545
50 221 361
50 163 357
50 165 353
50 237 347
50 202 394
50 159 398
50 176 565
50 174 330
50 176 319
50 221 338
50 191 350
50 168 306
50 165 506
50 193 390
50 177 325
50 199 315
50 173 322
50 163 417
50 152 354
50 173 476
50 219 330
50 190 370
50 197 466
50 190 373
50 208 338
50 153 284
50 166 422
50 188 329
50 178 520
50 170 311
50 216 392
50 162 332
50 160 368
100 401 910
100 450 859
100 397 1129
100 389 1019
100 392 989
100 469 973
100 421 1025
100 452 850
100 388 820
100 466 1360
100 404 948
100 337 767
100 412 970
100 417 925
100 410 867
100 426 1094
100 382 1301
100 374 888
100 391 856
100 403 1075
100 410 875
100 438 874
100 431 878
100 466 1129
100 421 953
100 486 1025
100 421 1103
100 475 1177
100 398 1277
100 373 892
100 458 922
100 366 788
100 450 1072
100 433 1573
100 402 1172
100 422 1126
100 458 1102
100 434 1124
100 427 980
100 372 968
100 419 824
100 388 1056
100 371 1246
100 484 1107
100 408 1183
100 350 1227
100 396 1579
100 444 1146
100 404 920
100 393 811
100 491 808
100 426 1132
100 454 1307
100 383 889
100 365 988
100 436 995
100 509 1703
100 466 889
100 428 835
100 389 1024
100 448 1120
100 376 935
100 361 747
100 404 892
100 359 1350
100 386 1507
100 390 1325
100 487 1127
100 412 1098
100 477 912
100 429 895
100 411 1003
100 410 934
100 414 882
100 418 979
100 360 1113
100 386 1087
100 387 1262
100 417 1011
100 388 865
100 502 1459
100 355 1406
100 442 966
100 369 907
100 413 1161
100 415 1285
100 425 869
100 450 937
100 394 962
100 472 1198
100 455 994
100 434 1118
100 418 1119
100 367 1158
100 446 908
100 521 1034
100 354 1385
100 442 1250
100 485 986
100 460 855
150 676 1549
150 717 1745
150 635 2115
150 648 2418
150 653 1673
150 580 1847
150 738 1622
150 644 1624
150 631 1773
150 677 2768
150 796 1475
150 717 1593
150 733 1799
150 775 1807
150 873 1708
150 634 1663
150 634 1540
150 708 1759
150 736 1755
150 649 1627
150 666 1652
150 692 2289
150 737 1572
150 632 1669
150 660 1900
150 706 1601
150 754 1897
150 739 1579
150 737 1878
150 756 1913
150 634 1536
150 683 1982
150 634 1699
150 617 1926
150 661 1483
150 696 1981
150 588 1859
150 679 1808
150 620 1556
150 714 1537
150 682 1632
150 620 1736
150 811 1563
150 677 1622
150 741 1559
150 717 1674
150 684 1606
150 694 1724
150 801 1840
150 686 1918
150 744 1991
150 675 1509
150 758 2011
150 727 1613
150 675 1624
150 818 1738
150 666 1603
150 667 1800
150 664 2051
150 742 1871
150 830 1806
150 597 1774
150 612 2176
150 722 1685
150 678 1586
150 662 1653
150 526 2025
150 641 1955
150 642 1767
150 675 1452
150 661 1618
150 688 1699
150 672 1703
150 780 2035
150 732 1647
150 670 1738
150 638 1950
150 643 2407
150 778 2479
150 729 1722
150 591 1829
150 756 2243
150 771 1509
150 808 1788
150 749 1942
150 674 1578
150 649 1942
150 760 2009
150 715 1869
150 710 1685
150 661 2141
