n przestawienia_insort porównania_insort
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
2 2 1
2 0 1
2 0 1
2 0 1
2 2 1
2 0 1
2 2 1
2 0 1
2 0 1
2 0 1
2 2 1
2 0 1
2 2 1
2 0 1
2 0 1
2 0 1
2 0 1
2 0 1
2 0 1
2 0 1
2 0 1
2 2 1
2 0 1
2 0 1
2 0 1
2 2 1
2 0 1
2 0 1
2 0 1
2 0 1
2 2 1
2 0 1
2 0 1
2 2 1
2 0 1
2 0 1
2 2 1
2 2 1
2 0 1
2 0 1
2 0 1
2 0 1
2 0 1
2 0 1
2 0 1
2 0 1
2 0 1
2 2 1
2 0 1
2 2 1
2 2 1
2 0 1
2 2 1
2 0 1
2 2 1
2 0 1
2 0 1
2 2 1
2 0 1
2 0 1
2 0 1
2 0 1
2 0 1
2 0 1
2 2 1
2 0 1
2 0 1
2 2 1
2 2 1
2 0 1
2 2 1
2 0 1
2 0 1
2 2 1
2 0 1
2 2 1
2 0 1
2 0 1
2 2 1
2 0 1
2 2 1
2 0 1
2 0 1
2 2 1
2 2 1
2 0 1
2 0 1
2 0 1
2 0 1
2 2 1
2 2 1
2 0 1
2 0 1
2 2 1
2 0 1
2 0 1
2 2 1
2 0 1
2 2 1
2 0 1
2 0 1
2 0 1
2 2 1
2 0 1
2 2 1
2 0 1
2 2 1
2 0 1
2 0 1
2 0 1
2 0 1
2 2 1
2 2 1
2 2 1
2 2 1
2 2 1
2 0 1
2 0 1
2 0 1
2 0 1
2 0 1
2 0 1
2 0 1
2 2 1
2 2 1
2 0 1
2 2 1
2 2 1
2 0 1
2 2 1
2 0 1
2 0 1
2 2 1
2 0 1
2 2 1
2 2 1
2 2 1
2 0 1
2 0 1
2 0 1
2 2 1
2 0 1
2 2 1
2 0 1
2 2 1
2 0 1
2 0 1
2 0 1
2 0 1
2 0 1
2 0 1
2 2 1
2 0 1
2 0 1
2 0 1
2 0 1
2 0 1
2 0 1
2 2 1
2 0 1
2 2 1
2 0 1
2 0 1
2 0 1
2 2 1
2 0 1
2 2 1
2 2 1
2 0 1
2 2 1
2 0 1
2 0 1
2 0 1
2 0 1
2 2 1
2 2 1
2 0 1
2 0 1
2 2 1
2 0 1
2 2 1
2 2 1
2 0 1
2 2 1
2 0 1
2 0 1
2 0 1
2 2 1
2 0 1
2 2 1
2 2 1
2 0 1
2 2 1
2 0 1
2 2 1
2 2 1
2 2 1
2 2 1
2 0 1
2 0 1
3 5 3
3 5 3
3 4 3
3 0 2
3 2 3
3 2 3
3 2 2
3 2 2
3 2 3
3 2 3
3 4 3
3 0 2
3 2 3
3 4 3
3 0 2
3 2 3
3 4 3
3 2 2
3 4 3
3 4 3
3 5 3
3 3 3
3 4 3
3 5 3
3 0 2
3 0 2
3 3 3
3 4 3
3 0 2
3 4 3
3 0 2
3 4 3
3 4 3
3 2 2
3 2 2
3 0 2
3 0 2
3 2 2
3 5 3
3 0 2
3 5 3
3 2 2
3 0 2
3 2 2
3 0 2
3 2 3
3 0 2
3 2 3
3 0 2
3 2 2
3 2 2
3 5 3
3 4 3
3 2 3
3 0 2
3 3 3
3 0 2
3 0 2
3 0 2
3 2 2
3 4 3
3 3 3
3 2 2
3 2 2
3 4 3
3 5 3
3 2 2
3 2 2
3 3 3
3 2 3
3 2 2
3 3 3
3 0 2
3 2 2
3 0 2
3 0 2
3 0 2
3 2 3
3 2 2
3 4 3
3 3 3
3 4 3
3 2 3
3 2 2
3 2 2
3 2 3
3 3 3
3 2 2
3 2 3
3 0 2
3 0 2
3 5 3
3 4 3
3 2 3
3 2 3
3 3 3
3 2 3
3 0 2
3 2 3
3 4 3
3 5 3
3 0 2
3 2 3
3 2 3
3 3 3
3 2 3
3 4 3
3 0 2
3 2 3
3 4 3
3 2 3
3 2 3
3 0 2
3 4 3
3 5 3
3 3 3
3 3 3
3 2 3
3 0 2
3 2 2
3 0 2
3 0 2
3 4 3
3 2 2
3 2 3
3 3 3
3 2 2
3 5 3
3 5 3
3 2 2
3 2 3
3 2 3
3 3 3
3 3 3
3 4 3
3 0 2
3 4 3
3 5 3
3 4 3
3 0 2
3 5 3
3 2 3
3 2 3
3 3 3
3 4 3
3 2 3
3 3 3
3 3 3
3 0 2
3 0 2
3 0 2
3 0 2
3 0 2
3 4 3
3 2 3
3 4 3
3 0 2
3 2 2
3 2 3
3 3 3
3 2 2
3 3 3
3 5 3
3 5 3
3 5 3
3 4 3
3 5 3
3 0 2
3 2 3
3 0 2
3 2 2
3 0 2
3 3 3
3 2 2
3 2 3
3 4 3
3 3 3
3 4 3
3 0 2
3 2 2
3 0 2
3 4 3
3 3 3
3 2 2
3 4 3
3 0 2
3 2 3
3 2 2
3 2 2
3 5 3
3 2 2
3 5 3
3 0 2
3 4 3
3 5 3
3 0 2
3 2 3
3 0 2
3 4 3
3 4 3
4 6 5
4 6 5
4 2 4
4 3 5
4 6 6
4 2 4
4 6 6
4 5 5
4 6 5
4 6 6
4 3 4
4 2 4
4 6 5
4 6 5
4 7 6
4 2 3
4 6 6
4 3 5
4 5 4
4 6 5
4 2 4
4 2 4
4 0 3
4 3 4
4 0 3
4 5 4
4 6 6
4 0 3
4 7 6
4 5 6
4 8 6
4 4 4
4 4 5
4 4 4
4 3 4
4 0 3
4 2 4
4 2 4
4 5 5
4 3 5
4 4 5
4 5 5
4 2 4
4 6 6
4 0 3
4 4 5
4 5 6
4 5 5
4 2 4
4 5 4
4 2 3
4 4 4
4 2 4
4 3 4
4 2 4
4 6 5
4 4 5
4 8 6
4 4 5
4 5 4
4 6 6
4 8 6
4 3 5
4 0 3
4 2 3
4 7 6
4 2 4
4 2 3
4 4 5
4 9 6
4 2 3
4 8 6
4 0 3
4 7 6
4 0 3
4 0 3
4 8 6
4 3 4
4 2 4
4 6 6
4 2 3
4 4 4
4 6 5
4 5 5
4 5 4
4 4 4
4 6 5
4 0 3
4 0 3
4 3 4
4 8 6
4 6 5
4 3 5
4 4 4
4 4 4
4 7 6
4 3 5
4 9 6
4 3 4
4 0 3
4 9 6
4 5 4
4 5 5
4 8 6
4 8 6
4 2 4
4 6 6
4 6 6
4 5 6
4 3 4
4 7 6
4 6 6
4 6 6
4 6 5
4 4 5
4 2 4
4 0 3
4 6 5
4 4 4
4 7 5
4 4 4
4 6 5
4 3 4
4 4 5
4 6 5
4 2 4
4 2 3
4 2 4
4 2 4
4 2 4
4 6 6
4 4 4
4 7 5
4 8 6
4 0 3
4 2 4
4 4 4
4 4 4
4 6 5
4 2 4
4 6 6
4 6 6
4 7 6
4 5 5
4 7 6
4 2 4
4 8 6
4 5 6
4 0 3
4 3 4
4 0 3
4 3 5
4 2 4
4 5 4
4 0 3
4 6 6
4 8 6
4 3 5
4 4 4
4 9 6
4 5 5
4 5 5
4 4 5
4 3 5
4 2 4
4 4 5
4 3 4
4 3 4
4 5 4
4 8 6
4 4 5
4 4 5
4 6 5
4 2 3
4 4 5
4 2 3
4 7 6
4 6 5
4 6 5
4 2 4
4 6 5
4 4 5
4 2 3
4 5 5
4 2 3
4 7 6
4 3 5
4 7 6
4 5 5
4 6 5
4 2 4
4 3 5
4 4 5
4 0 3
4 8 6
4 6 6
4 4 5
4 4 4
4 2 3
4 0 3
5 0 4
5 7 8
5 8 8
5 7 7
5 0 4
5 8 8
5 4 6
5 12 10
5 8 9
5 6 7
5 4 6
5 2 4
5 10 10
5 7 7
5 11 10
5 5 6
5 9 10
5 2 4
5 8 7
5 8 9
5 7 8
5 4 6
5 8 8
5 10 8
5 3 6
5 7 8
5 8 8
5 4 7
5 6 7
5 9 8
5 11 10
5 7 7
5 4 5
5 2 5
5 5 5
5 3 5
5 2 5
5 7 9
5 8 9
5 5 7
5 9 9
5 8 8
5 9 8
5 5 6
5 9 8
5 9 9
5 12 10
5 6 6
5 7 7
5 6 7
5 10 9
5 8 8
5 6 8
5 7 7
5 8 7
5 3 5
5 8 9
5 8 8
5 8 8
5 4 6
5 11 9
5 5 6
5 9 8
5 0 4
5 10 9
5 8 9
5 10 8
5 8 8
5 12 10
5 10 9
5 4 6
5 12 10
5 8 8
5 6 6
5 6 7
5 6 6
5 8 9
5 11 10
5 11 9
5 6 6
5 7 8
5 2 5
5 7 7
5 11 9
5 8 8
5 7 7
5 8 8
5 9 8
5 11 9
5 2 5
5 10 10
5 4 6
5 8 9
5 8 8
5 7 9
5 0 4
5 8 8
5 8 8
5 9 8
5 8 7
5 8 9
5 4 6
5 6 7
5 10 9
5 9 9
5 12 9
5 8 8
5 6 8
5 2 5
5 9 9
5 6 8
5 11 10
5 9 9
5 4 6
5 8 7
5 11 10
5 8 8
5 9 8
5 5 6
5 6 7
5 8 7
5 7 8
5 7 8
5 4 6
5 8 8
5 10 9
5 0 4
5 2 5
5 13 10
5 8 8
5 11 10
5 12 9
5 8 7
5 4 6
5 2 4
5 8 7
5 7 8
5 3 5
5 5 5
5 8 8
5 5 7
5 10 9
5 11 10
5 4 6
5 2 5
5 7 7
5 6 8
5 8 9
5 4 6
5 9 8
5 6 6
5 9 9
5 7 8
5 7 6
5 7 7
5 2 5
5 8 7
5 7 7
5 12 9
5 6 8
5 6 8
5 8 8
5 8 9
5 6 8
5 9 8
5 12 10
5 11 8
5 7 8
5 6 7
5 9 7
5 7 8
5 5 7
5 4 6
5 4 6
5 9 8
5 8 9
5 10 10
5 9 8
5 4 6
5 8 9
5 6 6
5 12 10
5 10 8
5 12 9
5 11 9
5 8 7
5 10 10
5 9 9
5 6 6
5 7 8
5 7 7
5 8 7
5 10 9
5 10 8
5 7 8
5 5 7
5 7 7
5 8 9
5 4 5
5 8 9
6 8 11
6 12 12
6 9 10
6 4 6
6 12 13
6 4 7
6 8 9
6 11 11
6 10 11
6 5 9
6 9 11
6 13 13
6 9 10
6 12 11
6 3 7
6 10 9
6 10 11
6 19 15
6 5 7
6 7 7
6 12 11
6 12 11
6 11 12
6 11 11
6 14 12
6 18 15
6 12 12
6 8 11
6 5 8
6 10 10
6 12 11
6 10 11
6 10 11
6 14 14
6 13 10
6 15 12
6 13 13
6 16 14
6 14 14
