n przestawienia_merge porównania_merge
50 175 223
50 177 219
50 161 229
50 167 225
50 179 216
50 174 225
50 171 225
50 174 222
50 169 224
50 168 223
100 414 534
100 383 544
100 383 551
100 379 549
100 389 543
100 389 541
100 382 541
100 393 537
100 399 527
100 382 547
150 636 895
150 609 907
150 617 899
150 627 893
150 633 898
150 620 899
150 645 900
150 641 894
150 621 900
150 624 910
200 881 1274
200 875 1294
200 873 1284
200 892 1268
200 887 1279
200 909 1271
200 882 1288
200 870 1285
200 883 1287
200 890 1280
250 1145 1681
250 1145 1676
250 1140 1673
250 1147 1679
250 1163 1678
250 1144 1679
250 1131 1678
250 1137 1679
250 1160 1687
250 1128 1671
300 1405 2094
300 1406 2113
300 1407 2102
300 1411 2098
300 1423 2091
300 1423 2085
300 1420 2094
300 1404 2100
300 1395 2095
300 1397 2099
350 1666 2529
350 1671 2529
350 1664 2556
350 1718 2507
350 1687 2539
350 1713 2521
350 1703 2516
350 1693 2534
350 1667 2523
350 1681 2518
400 1938 2979
400 1999 2954
400 1948 2978
400 1926 2958
400 1991 2945
400 1974 2946
400 1967 2972
400 1959 2968
400 1987 2949
400 1940 2977
450 2232 3417
450 2235 3426
450 2232 3413
450 2271 3401
450 2271 3404
450 2249 3401
450 2245 3406
450 2226 3399
450 2254 3417
450 2233 3434
500 2532 3875
500 2553 3866
500 2549 3818
500 2546 3857
500 2528 3868
500 2560 3855
500 2560 3835
500 2519 3868
500 2509 3860
500 2549 3854
550 2824 4346
550 2799 4333
550 2822 4338
550 2828 4313
550 2822 4313
550 2819 4329
550 2803 4343
550 2833 4327
550 2798 4346
550 2792 4326
600 3112 4800
600 3112 4792
600 3131 4780
600 3079 4800
600 3077 4824
600 3127 4789
600 3136 4811
600 3137 4777
600 3088 4794
600 3115 4809
650 3419 5288
650 3390 5271
650 3433 5270
650 3433 5264
650 3390 5284
650 3403 5284
650 3388 5267
650 3391 5273
650 3422 5267
650 3407 5280
700 3733 5743
700 3722 5746
700 3737 5744
700 3669 5765
700 3703 5760
700 3701 5777
700 3666 5776
700 3686 5757
700 3718 5736
700 3719 5777
750 3997 6253
750 4076 6206
750 4040 6222
750 4045 6226
750 4079 6187
750 4067 6212
750 4018 6254
750 4055 6238
750 4039 6223
750 4050 6230
800 4359 6713
800 4332 6747
800 4314 6729
800 4339 6701
800 4290 6746
800 4310 6722
800 4346 6736
800 4331 6731
800 4307 6736
800 4312 6746
850 4628 7203
850 4591 7228
850 4612 7222
850 4618 7220
850 4632 7225
850 4630 7230
850 4592 7212
850 4632 7195
850 4638 7199
850 4647 7218
900 4945 7727
900 4949 7721
900 4945 7694
900 4933 7702
900 4943 7695
900 4962 7693
900 4973 7703
900 4939 7704
900 4956 7711
900 4979 7677
950 5252 8204
950 5280 8204
950 5220 8217
950 5261 8213
950 5246 8205
950 5248 8191
950 5220 8234
950 5293 8193
950 5214 8203
950 5237 8217
1000 5609 8707
1000 5629 8678
1000 5551 8695
1000 5621 8695
1000 5588 8713
1000 5580 8714
1000 5590 8703
1000 5557 8703
1000 5594 8712
1000 5618 8681
