n przestawienia_mysort porównania_mysort
50 134 268
50 177 243
50 138 231
50 194 288
50 178 258
50 139 228
50 142 220
50 180 252
50 149 266
50 151 258
50 179 275
50 182 262
50 201 261
50 125 215
50 131 215
50 176 315
50 177 241
50 180 253
50 159 224
50 147 257
50 177 259
50 126 215
50 135 272
50 158 267
50 168 297
50 187 260
50 146 239
50 146 289
50 130 219
50 132 264
50 116 290
50 177 261
50 162 251
50 185 292
50 171 243
50 175 262
50 172 264
50 137 282
50 173 250
50 108 294
50 226 351
50 136 224
50 125 230
50 187 248
50 293 371
50 177 248
50 147 246
50 166 274
50 215 290
50 166 257
50 165 253
50 192 271
50 147 292
50 169 254
50 189 316
50 172 281
50 130 219
50 137 277
50 179 239
50 141 281
50 131 281
50 241 304
50 173 253
50 116 244
50 135 238
50 128 231
50 215 260
50 128 255
50 248 290
50 180 260
50 222 327
50 129 242
50 151 216
50 177 233
50 159 225
50 169 244
50 148 235
50 146 248
50 134 238
50 127 275
50 176 235
50 97 248
50 155 268
50 117 225
50 146 241
50 151 237
50 135 226
50 124 229
50 122 243
50 168 227
50 170 291
50 223 293
50 170 261
50 182 263
50 138 232
50 143 257
50 145 310
50 133 228
50 196 267
50 119 273
100 336 611
100 468 647
100 412 680
100 353 627
100 370 745
100 374 627
100 408 623
100 387 608
100 429 644
100 556 788
100 294 701
100 384 678
100 367 638
100 379 642
100 331 600
100 375 630
100 377 685
100 345 607
100 333 612
100 297 632
100 345 671
100 270 901
100 320 637
100 419 721
100 335 576
100 253 540
100 377 668
100 435 712
100 360 598
100 425 619
100 312 612
100 314 590
100 318 559
100 307 583
100 327 589
100 309 592
100 318 613
100 526 733
100 433 646
100 391 592
100 381 592
100 432 683
100 408 665
100 385 664
100 452 659
100 377 665
100 342 646
100 405 601
100 308 544
100 430 592
100 363 670
100 318 784
100 300 587
100 366 627
100 377 623
100 395 691
100 355 667
100 504 837
100 415 659
100 343 617
100 383 617
100 325 584
100 325 580
100 313 576
100 311 594
100 391 708
100 450 634
100 377 621
100 451 692
100 350 560
100 339 551
100 359 688
100 365 614
100 297 634
100 304 593
100 381 737
100 333 594
100 334 587
100 415 732
100 425 665
100 373 618
100 378 570
100 404 662
100 387 597
100 336 682
100 541 811
100 326 569
100 481 729
100 347 672
100 397 648
100 369 703
100 354 701
100 438 625
100 418 632
100 413 619
100 349 622
100 342 590
100 392 766
100 330 666
100 430 658
150 632 996
150 690 1076
150 613 1026
150 740 1080
150 599 1110
150 695 1136
150 743 1084
150 721 1230
150 539 1130
150 633 1032
150 756 1070
150 662 1147
150 570 1197
150 506 946
150 811 1534
150 758 1164
150 653 1067
150 661 1289
150 593 970
150 525 1137
150 500 1027
150 658 1022
150 664 1144
150 747 1030
150 677 1027
150 567 1040
150 771 1274
150 640 1067
150 1132 1447
150 558 957
150 628 994
150 745 1157
150 515 1018
150 925 1255
150 685 1050
150 621 1138
150 616 990
150 528 991
150 566 1005
150 609 983
150 577 1023
150 725 1146
150 645 1083
150 677 1088
150 536 1028
150 577 1061
150 574 992
150 609 1094
150 587 1085
150 911 1297
150 593 1085
150 564 1022
150 495 969
150 774 1175
150 549 989
150 576 1088
150 599 1043
150 557 990
150 661 1102
150 606 1051
150 616 1023
150 634 1187
150 592 939
150 603 1030
150 698 1039
150 806 1241
150 715 1169
150 699 1028
150 513 1061
150 613 1163
150 648 1061
150 642 1107
