n przestawienia_quick porównania_quick
50 200 257
50 200 239
50 198 265
50 140 275
50 172 268
50 160 234
50 172 276
50 190 248
50 146 218
50 171 240
50 211 290
50 153 218
50 153 274
50 160 244
50 145 249
50 147 245
50 195 249
50 175 235
50 141 252
50 160 268
50 151 222
50 197 267
50 139 247
50 230 336
50 167 232
50 150 244
50 158 236
50 148 235
50 180 264
50 183 283
50 155 268
50 172 249
50 156 225
50 219 318
50 156 238
50 179 241
50 175 289
50 173 230
50 124 263
50 168 227
50 237 344
50 159 276
50 137 233
50 139 270
50 137 245
50 186 242
50 178 243
50 239 312
50 234 300
50 169 294
50 227 276
50 152 237
50 172 273
50 240 292
50 124 246
50 174 264
50 157 221
50 186 281
50 217 306
50 173 266
50 130 249
50 139 251
50 164 269
50 230 284
50 143 249
50 153 248
50 157 266
50 161 237
50 176 246
50 171 259
50 130 259
50 186 276
50 153 238
50 203 328
50 127 234
50 122 257
50 219 268
50 195 277
50 228 378
50 143 235
50 158 229
50 132 249
50 207 310
50 186 260
50 183 307
50 127 247
50 133 254
50 220 300
50 190 265
50 182 246
50 184 243
50 145 219
50 184 253
50 192 290
50 208 279
50 151 236
50 243 313
50 157 284
50 139 213
50 164 243
100 365 613
100 403 619
100 482 679
100 384 618
100 469 771
100 345 658
100 386 612
100 579 722
100 404 600
100 420 720
100 355 765
100 317 625
100 323 677
100 422 625
100 367 575
100 359 654
100 399 619
100 315 585
100 466 722
100 489 812
100 417 626
100 452 627
100 388 753
100 380 666
100 323 652
100 366 568
100 286 746
100 414 625
100 350 687
100 331 619
100 356 613
100 500 665
100 331 578
100 339 638
100 453 786
100 367 621
100 310 691
100 384 583
100 391 582
100 433 625
100 341 588
100 382 570
100 402 711
100 354 593
100 368 579
100 393 625
100 365 605
100 401 590
100 372 596
100 354 638
100 404 691
100 321 542
100 440 614
100 450 729
100 434 641
100 356 600
100 385 663
100 459 622
100 457 660
100 389 632
100 356 607
100 468 700
100 360 565
100 364 543
100 455 742
100 385 683
100 412 587
100 391 654
100 399 654
100 385 613
100 390 712
100 476 624
100 399 589
100 542 719
100 460 650
100 343 582
100 606 768
100 436 637
100 395 592
100 503 686
100 400 657
100 432 639
100 358 630
100 317 643
100 361 601
100 363 648
100 385 619
100 382 583
100 490 775
100 342 640
100 372 594
100 353 532
100 380 606
100 457 726
100 293 647
100 431 591
100 375 622
100 381 671
100 399 662
100 488 681
150 783 1173
150 822 1198
150 710 1346
150 616 978
150 545 1015
150 613 973
150 596 998
150 592 1028
150 635 1076
150 627 1124
150 574 1025
150 777 1273
150 516 1076
150 631 1018
150 749 1137
150 708 995
150 574 1096
150 561 1005
150 653 1088
150 649 1065
150 721 1422
150 670 1129
150 530 966
150 657 1028
150 619 1059
150 594 1044
150 684 1088
150 586 961
150 625 976
150 563 1144
150 496 1036
150 576 1098
150 583 1057
150 626 1064
150 678 1099
150 583 1194
150 680 1045
150 712 1000
150 842 1123
150 832 1226
150 632 1180
150 672 1210
150 569 1124
150 809 1262
150 724 1168
150 666 1046
150 671 1122
150 553 1069
150 723 1057
150 708 1088
150 713 1056
150 498 1027
150 633 980
150 844 1286
150 701 1017
150 603 1047
150 671 1070
150 618 1001
150 816 1318
150 658 1054
150 603 1026
150 699 1085
150 576 986
150 751 1063
150 727 1048
150 587 1044
150 842 1278
150 633 996
150 576 950
150 717 1000
150 549 970
150 490 968
150 562 986
150 610 1141
150 609 1063
150 613 1058
150 570 1138
150 602 1055
150 639 1042
150 561 997
150 723 1075
150 699 1212
150 674 1123
150 747 1087
150 681 1036
150 704 1042
150 562 1193
150 702 1041
150 600 1051
150 699 1061
150 663 1088
150 647 1068
150 618 1095
150 583 1003
150 729 1021
150 679 1070
150 638 1061
150 797 1144
150 680 1075
150 627 996
200 1031 1528
200 898 1591
200 761 1639
200 1153 1624
200 990 1614
200 840 1357
200 928 1418
200 763 1413
200 911 1476
200 1048 1567
200 930 1571
200 1060 1518
200 935 1383
200 1007 1829
200 729 1508
200 951 1552
200 723 1403
200 870 1491
200 858 1328
200 925 1619
200 815 1610
200 1012 1830
200 1012 1483
200 799 1391
200 928 1436
200 821 1442
200 975 1372
200 953 1554
200 751 1323
200 1013 1443
200 890 1467
200 873 1505
200 935 1609
200 886 1486
200 1047 1527
200 932 1441
200 944 1588
200 1158 1737
200 886 1519
200 976 1519
200 1055 1627
200 936 1400
200 747 1538
200 841 1427
200 954 1579
200 1006 1889
200 966 1538
200 932 1693
200 1042 1580
200 901 1641
200 962 1640
200 807 1580
200 1102 1690
200 778 1372
200 917 1599
200 841 1485
200 774 1476
200 1158 1717
200 952 1506
200 860 1441
200 917 1527
200 925 1559
200 857 1514
200 893 1411
200 935 1648
200 773 1613
200 963 1444
200 849 1394
200 957 1585
200 1317 1820
200 1078 1597
200 926 1605
200 886 1458
200 1042 1610
200 862 1548
200 871 1605
200 1004 1566
200 806 1621
200 963 1576
200 908 1426
200 792 1522
200 702 1573
200 1323 1853
200 912 1530
200 723 1827
200 1058 1789
200 863 1859
200 910 1459
200 984 1507
200 1096 1660
200 750 1398
200 893 1474
200 1164 1738
200 1115 1586
200 1011 1622
200 980 1496
200 930 1552
200 998 1699
200 823 1433
200 840 1400
250 1070 1880
250 1224 1914
250 1221 2012
250 1239 1944
250 1168 1875
250 1369 2133
250 1588 2165
250 1204 1937
250 1163 1918
250 1312 1953
250 1073 1951
250 1128 2251
250 1184 2203
250 1360 2222
250 1225 1949
250 1073 1800
250 1357 1968
250 959 1849
250 1298 2118
250 1251 1859
250 1098 1914
250 1142 1823
250 1415 2200
250 1061 2002
250 1268 2110
250 1025 1960
250 968 1777
250 1253 1994
250 1399 2015
250 1131 2140
250 1124 2070
250 1182 1952
250 1198 2087
250 1243 2039
250 1306 2073
250 1182 1941
250 1321 2120
250 1306 2030
250 1173 1957
250 1324 1992
250 1072 1895
250 1299 1970
250 1132 1978
250 1125 1838
250 1259 2314
250 1307 2084
250 1060 2043
250 1052 1992
250 1315 2084
250 1187 2054
250 1033 1889
250 1023 2307
250 1141 2260
250 1384 2160
