n porównania czas
1000 17 3000
2000 15 4000
3000 21 20000
4000 23 3000
5000 21 2000
6000 21 1000
7000 23 2000
8000 23 1000
9000 21 1000
10000 23 1000
11000 25 2000
12000 23 1000
13000 27 1000
14000 23 0
15000 23 1000
16000 25 1000
17000 19 0
18000 27 1000
19000 25 1000
20000 23 1000
21000 25 1000
22000 23 2000
23000 29 1000
24000 29 1000
25000 27 1000
26000 25 1000
27000 25 1000
28000 27 0
29000 17 1000
30000 27 1000
31000 27 1000
32000 27 1000
33000 29 1000
34000 19 1000
35000 27 2000
36000 23 1000
37000 29 1000
38000 23 1000
39000 21 2000
40000 29 1000
41000 29 1000
42000 27 1000
43000 27 1000
44000 29 1000
45000 27 1000
46000 29 1000
47000 27 1000
48000 29 1000
49000 27 1000
50000 31 1000
51000 27 1000
52000 29 2000
53000 27 1000
54000 27 1000
55000 27 1000
56000 29 1000
57000 31 1000
58000 31 1000
59000 27 2000
60000 31 2000
61000 29 1000
62000 29 2000
63000 29 1000
64000 29 1000
65000 29 1000
66000 29 1000
67000 31 1000
68000 27 1000
69000 31 1000
70000 29 2000
71000 27 2000
72000 25 1000
73000 27 1000
74000 27 1000
75000 31 1000
76000 31 0
77000 31 1000
78000 31 1000
79000 31 1000
80000 33 1000
81000 29 1000
82000 25 1000
83000 31 2000
84000 33 1000
85000 29 2000
86000 21 1000
87000 33 1000
88000 23 1000
89000 33 2000
90000 29 1000
91000 33 1000
92000 31 1000
93000 29 2000
94000 31 2000
95000 31 1000
96000 31 1000
97000 31 1000
98000 27 3000
99000 33 1000
100000 29 1000
