n porównania czas
3000 1 0.002
1000 17 0.002
1000 15 0.001
1000 17 0.001
1000 17 0.003
1000 11 0.002
1000 19 0.001
1000 17 0.002
1000 19 0.001
1000 19 0.001
1000 3 0
1000 19 0.001
1000 19 0.002
1000 11 0.002
1000 15 0.002
1000 19 0.001
1000 17 0.002
1000 17 0.002
1000 17 0.002
1000 11 0.003
1000 13 0.002
1000 11 0.001
1000 17 0.001
1000 15 0.002
1000 15 0.002
1000 17 0.002
1000 17 0.002
1000 19 0.002
1000 13 0.001
1000 19 0
1000 15 0.002
1000 19 0.002
1000 7 0.001
1000 17 0.003
1000 17 0.002
1000 15 0.002
1000 13 0.002
1000 19 0.001
1000 13 0.001
1000 13 0.002
1000 17 0.002
1000 19 0.001
1000 19 0.002
1000 17 0.001
1000 7 0
1000 15 0.002
1000 19 0.001
1000 15 0.002
1000 11 0.002
1000 17 0
1000 19 0.001
1000 17 0.002
1000 17 0.001
1000 13 0.001
1000 15 0.002
1000 19 0.002
1000 17 0.002
1000 13 0.001
1000 19 0.001
1000 17 0
1000 17 0.002
1000 15 0.002
1000 19 0.002
1000 5 0.002
1000 19 0
1000 17 0.001
1000 19 0.002
1000 17 0.002
1000 13 0.001
1000 17 0.001
1000 17 0.002
1000 19 0.001
1000 15 0.001
1000 15 0.001
1000 17 0.002
1000 17 0.001
1000 19 0.001
1000 17 0.002
1000 15 0.001
1000 17 0.001
1000 17 0.002
1000 17 0.002
1000 15 0.001
1000 15 0.002
1000 19 0.001
1000 19 0.001
1000 19 0.001
1000 17 0.001
1000 13 0.001
1000 19 0.001
1000 19 0.001
1000 19 0.001
1000 11 0.002
1000 15 0.002
1000 19 0.001
1000 17 0.002
1000 17 0.002
1000 17 0.001
1000 15 0.001
1000 15 0.001
2000 19 0.001
2000 11 0.001
2000 13 0.001
2000 17 0.001
2000 21 0.002
2000 15 0.001
2000 17 0.002
2000 21 0.002
2000 19 0.002
2000 21 0.001
2000 21 0.002
2000 13 0.002
2000 19 0.002
2000 15 0.002
2000 21 0.002
2000 13 0.002
2000 15 0.002
2000 19 0.001
2000 13 0.002
2000 19 0.001
2000 17 0.001
2000 21 0.002
2000 17 0.002
2000 17 0.002
2000 15 0.001
2000 19 0.001
2000 17 0.001
2000 13 0.001
2000 21 0.001
2000 13 0.002
2000 21 0.001
2000 15 0.002
2000 17 0.001
2000 21 0.001
2000 13 0.001
2000 11 0.001
2000 11 0.001
2000 17 0.001
2000 21 0.001
2000 19 0.001
2000 21 0.002
2000 19 0.001
2000 17 0.001
2000 21 0.001
2000 21 0.002
2000 13 0.001
2000 19 0.003
2000 21 0.002
2000 17 0.002
2000 21 0.002
2000 21 0.002
2000 15 0.002
2000 19 0.001
2000 17 0
2000 21 0.002
2000 19 0.001
2000 19 0.001
2000 21 0.001
2000 19 0.002
2000 13 0.001
2000 17 0.002
2000 19 0.002
2000 21 0
2000 19 0.002
2000 19 0.002
2000 19 0.001
2000 21 0.002
2000 9 0.002
2000 19 0.002
2000 17 0.001
2000 21 0.001
2000 15 0.001
2000 19 0.001
2000 19 0.002
2000 15 0.001
2000 19 0.002
2000 19 0.002
2000 19 0.002
2000 15 0.001
2000 19 0.002
2000 17 0.002
2000 21 0.002
2000 13 0.002
2000 17 0.001
2000 19 0.001
2000 21 0.003
2000 15 0.001
2000 21 0.002
2000 19 0.002
2000 17 0.001
2000 19 0.003
2000 15 0.002
2000 19 0.002
