n porównania czas
1000 17 1000
2000 19 1000
3000 19 1000
4000 13 2000
5000 19 1000
6000 25 3000
7000 23 4000
8000 19 1000
9000 25 0
10000 25 1000
11000 23 2000
12000 25 1000
13000 27 1000
14000 23 2000
15000 27 1000
16000 27 1000
17000 27 1000
18000 27 1000
19000 25 1000
20000 27 2000
21000 27 2000
22000 27 1000
23000 27 1000
24000 25 1000
25000 23 2000
26000 27 1000
27000 27 1000
28000 27 2000
29000 27 1000
30000 25 3000
31000 27 1000
32000 23 1000
33000 23 1000
34000 23 1000
35000 27 1000
36000 27 1000
37000 27 2000
38000 31 1000
39000 27 1000
40000 27 2000
41000 27 2000
42000 23 1000
43000 29 1000
44000 29 1000
45000 31 1000
46000 27 1000
47000 29 1000
48000 31 2000
49000 25 2000
50000 29 1000
51000 27 2000
52000 31 1000
53000 29 0
54000 27 2000
55000 23 1000
56000 21 1000
57000 27 1000
58000 31 0
59000 25 1000
60000 29 1000
61000 29 2000
62000 27 1000
63000 21 2000
64000 29 3000
65000 27 2000
66000 29 2000
67000 29 1000
68000 31 1000
69000 29 1000
70000 27 1000
71000 29 1000
72000 27 1000
73000 31 2000
74000 31 1000
75000 27 1000
76000 25 1000
77000 29 1000
78000 29 1000
79000 19 2000
80000 27 1000
81000 25 1000
82000 27 1000
83000 27 1000
84000 27 1000
85000 31 1000
86000 33 1000
87000 29 1000
88000 23 1000
89000 31 2000
90000 31 2000
91000 31 2000
92000 29 1000
93000 29 1000
94000 33 1000
95000 29 1000
96000 29 1000
97000 27 3000
98000 23 2000
99000 31 1000
100000 33 1000
