n porównania czas
1000 18 2000
2000 20 1000
3000 20 2000
4000 22 1000
5000 22 1000
6000 22 3000
7000 24 1000
8000 24 2000
9000 24 1000
10000 24 1000
11000 24 1000
12000 24 1000
13000 26 1000
14000 26 1000
15000 26 0
16000 26 1000
17000 26 1000
18000 26 1000
19000 26 1000
20000 26 1000
21000 26 1000
22000 26 1000
23000 26 2000
24000 26 2000
25000 28 1000
26000 28 1000
27000 28 1000
28000 28 1000
29000 28 1000
30000 28 1000
31000 28 1000
32000 28 1000
33000 28 2000
34000 28 1000
35000 28 2000
36000 28 1000
37000 28 1000
38000 28 1000
39000 28 1000
40000 28 1000
41000 28 1000
42000 28 0
43000 28 2000
44000 28 2000
45000 28 0
46000 28 1000
47000 28 1000
48000 28 1000
49000 28 1000
50000 30 6000
51000 30 0
52000 30 2000
53000 30 1000
54000 30 1000
55000 30 0
56000 30 1000
57000 30 2000
58000 30 1000
59000 30 1000
60000 30 1000
61000 30 0
62000 30 1000
63000 30 2000
64000 30 3000
65000 30 1000
66000 30 1000
67000 30 1000
68000 30 2000
69000 30 0
70000 30 1000
71000 30 1000
72000 30 1000
73000 30 1000
74000 30 1000
75000 30 1000
76000 30 1000
77000 30 1000
78000 30 1000
79000 30 1000
80000 30 1000
81000 30 1000
82000 30 1000
83000 30 1000
84000 30 1000
85000 30 1000
86000 30 1000
87000 30 3000
88000 30 3000
89000 30 1000
90000 30 1000
91000 30 2000
92000 30 2000
93000 30 1000
94000 30 2000
95000 30 1000
96000 30 1000
97000 30 1000
98000 30 1000
99000 32 1000
100000 32 1000
