n porównania czas
1000 19 1000
2000 19 1000
3000 17 2000
4000 17 2000
5000 19 2000
6000 25 1000
7000 23 1000
8000 23 1000
9000 21 1000
10000 25 1000
11000 25 1000
12000 27 1000
13000 23 0
14000 27 1000
15000 27 1000
16000 27 2000
17000 25 1000
18000 27 2000
19000 25 1000
20000 27 2000
21000 27 2000
22000 23 1000
23000 27 1000
24000 25 1000
25000 27 1000
26000 25 1000
27000 29 0
28000 25 1000
29000 29 1000
30000 25 0
31000 23 1000
32000 19 1000
33000 29 0
34000 31 1000
35000 19 1000
36000 23 2000
37000 27 1000
38000 27 1000
39000 29 1000
40000 23 1000
41000 27 1000
42000 29 1000
43000 29 1000
44000 25 1000
45000 29 1000
46000 29 1000
47000 31 1000
48000 21 1000
49000 21 0
50000 29 1000
51000 27 1000
52000 31 1000
53000 29 2000
54000 31 1000
55000 27 2000
56000 29 1000
57000 25 1000
58000 17 1000
59000 29 0
60000 29 1000
61000 23 1000
62000 27 1000
63000 31 2000
64000 9 2000
65000 31 1000
66000 23 1000
67000 25 1000
68000 29 1000
69000 31 2000
70000 27 2000
71000 29 1000
72000 33 1000
73000 27 1000
74000 31 1000
75000 29 2000
76000 23 1000
77000 29 1000
78000 31 1000
79000 29 1000
80000 31 2000
81000 27 1000
82000 33 1000
83000 27 1000
84000 25 2000
85000 31 1000
86000 31 1000
87000 31 1000
88000 29 1000
89000 31 1000
90000 31 1000
91000 31 1000
92000 27 1000
93000 29 1000
94000 27 0
95000 33 1000
96000 25 2000
97000 31 1000
98000 27 3000
99000 31 2000
100000 31 1000
