n porównania przestawienia czas
100 5157 6322 0.048
200 12294 15266 0.08
300 21966 27781 0.211
400 30228 38311 0.181
500 39225 49865 0.218
600 50289 64106 0.282
700 58548 74984 0.314
800 69087 88536 0.396
900 79425 102475 0.459
1000 90165 116014 0.557
1100 102525 131383 0.57
1200 112302 144757 0.621
1300 125988 161972 0.658
1400 138033 178257 0.785
1500 148791 192426 1.169
1600 158640 206217 1.073
1700 170547 220883 0.902
1800 180276 233836 0.944
1900 194571 253622 1.168
2000 204732 265316 1.304
2100 217461 282514 1.14
2200 229836 297843 1.186
2300 248214 322826 1.292
2400 254712 330548 1.456
2500 271365 352022 1.403
2600 283056 367310 1.526
2700 294792 383230 2.032
2800 308394 400686 1.594
2900 320790 417821 1.611
3000 332634 433241 2.15
3100 346047 452584 1.752
3200 358356 467321 1.772
3300 372987 487529 1.89
3400 385611 502631 1.942
3500 391746 511380 1.951
3600 404247 526113 1.978
3700 423363 554883 2.341
3800 435264 570159 2.15
3900 442044 578065 2.206
4000 457527 598672 2.258
4100 475869 623043 2.35
4200 483762 631316 2.213
4300 506001 662628 2.649
4400 520923 679997 2.656
4500 531801 696822 2.614
4600 551004 719852 2.629
4700 556761 729054 2.742
4800 572097 749869 3.021
4900 586875 769106 3.049
5000 597675 781944 2.973
5100 619992 811715 3.165
5200 629205 823440 3.106
5300 649152 851700 3.346
5400 657408 861593 2.959
5500 666339 872009 2.987
5600 698649 916746 3.277
5700 704409 924389 3.183
5800 713514 937041 3.81
5900 716049 939367 3.361
6000 748035 984802 3.4
6100 767556 1008340 3.727
6200 759588 995841 4.509
6300 789030 1034624 3.989
6400 791169 1039766 3.573
6500 806976 1057562 3.669
6600 830409 1093597 3.689
6700 830799 1088243 3.952
6800 847080 1111507 3.796
6900 869142 1143259 3.861
7000 880476 1157765 3.942
7100 908136 1193283 5.294
7200 914016 1202872 4.285
7300 929019 1224743 4.537
7400 947361 1247414 4.252
7500 961950 1265736 4.559
7600 977757 1288417 4.65
7700 986037 1301198 4.491
7800 993912 1304144 4.464
7900 1009872 1330971 4.529
8000 1019937 1344318 4.854
8100 1054386 1391563 4.747
8200 1061562 1397177 4.988
8300 1085334 1429854 4.874
8400 1087386 1431763 4.873
8500 1094286 1444203 5.032
8600 1110309 1463728 5.085
8700 1137306 1497956 5.245
8800 1154379 1519459 5.388
8900 1143579 1502302 5.67
9000 1168266 1537697 5.317
9100 1181973 1553253 5.52
9200 1212009 1598892 5.383
9300 1231926 1623936 5.886
9400 1239813 1634788 6.176
9500 1249581 1648857 5.582
9600 1279737 1686594 8.388
9700 1270635 1671279 5.672
9800 1303176 1720205 6.643
9900 1314858 1734174 5.839
10000 1345299 1772586 6.015
