n porównania przestawienia czas
100 450 5101 0.013
200 900 20201 0.045
300 1350 45301 0.117
400 1800 80401 0.157
500 2250 125501 0.235
600 2700 180601 0.401
700 3150 245701 0.476
800 3600 320801 0.749
900 4050 405901 0.75
1000 4500 501001 0.945
1100 4950 606101 1.066
1200 5400 721201 1.567
1300 5850 846301 1.498
1400 6300 981401 1.744
1500 6750 1126501 2.787
1600 7200 1281601 2.486
1700 7650 1446701 2.449
1800 8100 1621801 2.872
1900 8550 1806901 3.252
2000 9000 2002001 3.586
2100 9450 2207101 4.143
2200 9900 2422201 4.681
2300 10350 2647301 4.657
2400 10800 2882401 5.191
2500 11250 3127501 5.699
2600 11700 3382601 5.933
2700 12150 3647701 6.435
2800 12600 3922801 6.793
2900 13050 4207901 7.536
3000 13500 4503001 7.981
3100 13950 4808101 8.085
3200 14400 5123201 8.673
3300 14850 5448301 9.147
3400 15300 5783401 9.839
3500 15750 6128501 10.472
3600 16200 6483601 11.05
3700 16650 6848701 11.528
3800 17100 7223801 12.128
3900 17550 7608901 13.36
4000 18000 8004001 13.477
4100 18450 8409101 14.218
4200 18900 8824201 14.622
4300 19350 9249301 15.655
4400 19800 9684401 17.791
4500 20250 10129501 17.542
4600 20700 10584601 16.948
4700 21150 11049701 18.919
4800 21600 11524801 19.637
4900 22050 12009901 20.766
5000 22500 12505001 21.281
5100 22950 13010101 22.712
5200 23400 13525201 25.953
5300 23850 14050301 23.728
5400 24300 14585401 23.431
5500 24750 15130501 25.64
5600 25200 15685601 24.296
5700 25650 16250701 25.958
5800 26100 16825801 29.299
5900 26550 17410901 26.958
6000 27000 18006001 30.17
6100 27450 18611101 28.997
6200 27900 19226201 31.917
6300 28350 19851301 30.605
6400 28800 20486401 32.227
6500 29250 21131501 33.228
6600 29700 21786601 33.749
6700 30150 22451701 36.413
6800 30600 23126801 35.447
6900 31050 23811901 36.675
7000 31500 24507001 40.842
7100 31950 25212101 39.135
7200 32400 25927201 40.042
7300 32850 26652301 41.719
7400 33300 27387401 41.852
7500 33750 28132501 43.369
7600 34200 28887601 45.009
7700 34650 29652701 46.545
7800 35100 30427801 47.347
7900 35550 31212901 51.789
8000 36000 32008001 49.548
8100 36450 32813101 51.138
8200 36900 33628201 56.965
8300 37350 34453301 53.522
8400 37800 35288401 55.061
8500 38250 36133501 55.709
8600 38700 36988601 60.755
8700 39150 37853701 60.466
8800 39600 38728801 61.561
8900 40050 39613901 60.959
9000 40500 40509001 62.775
9100 40950 41414101 64.417
9200 41400 42329201 67.199
9300 41850 43254301 68.663
9400 42300 44189401 69.106
9500 42750 45134501 72.236
9600 43200 46089601 75.048
9700 43650 47054701 75.443
9800 44100 48029801 75.569
9900 44550 49014901 78.574
10000 45000 50010001 85.828
