n porównania przestawienia czas
100 2950 3614 0.058
200 6911 8500 0.156
300 11608 14152 0.243
400 16314 20115 0.301
500 21866 26751 0.317
600 27080 33285 0.403
700 32769 40230 0.455
800 37645 46362 0.692
900 43829 53773 0.753
1000 49540 61054 0.933
1100 55542 68206 0.736
1200 61681 75968 1.015
1300 68361 83744 0.888
1400 74362 91602 1.326
1500 80024 98500 1.012
1600 85499 105539 1.068
1700 93405 114584 1.269
1800 98899 122063 1.279
1900 106984 131513 1.387
2000 112390 138399 1.652
2100 120279 147647 1.538
2200 125289 154293 1.92
2300 132318 162537 2.567
2400 137828 170011 1.768
2500 147159 180275 1.901
2600 154114 189714 1.955
2700 161471 198672 2.152
2800 166287 205030 2.233
2900 174952 215024 2.261
3000 180698 222571 2.227
3100 187683 230910 2.256
3200 191888 236934 2.405
3300 204758 251133 2.44
3400 208933 257224 2.688
3500 217317 266825 2.379
3600 221109 272632 3.186
3700 231033 284247 2.793
3800 238268 292619 2.93
3900 247561 303849 2.89
4000 250607 308776 4.693
4100 262615 322336 3.178
4200 265961 327033 3.153
4300 276427 339297 3.265
4400 280785 345658 3.456
4500 291351 357295 3.165
4600 297750 365816 3.304
4700 305056 374751 4.351
4800 309947 381472 4.277
4900 320520 393079 3.834
5000 327426 402177 4.126
5100 337542 414213 4.531
5200 340698 419328 4.069
5300 352111 432779 4.127
5400 359634 442177 4.012
5500 367949 452264 4.053
5600 370504 456780 4.796
5700 385137 471716 4.156
5800 389127 478908 4.398
5900 397967 489042 4.356
6000 401610 494648 4.319
6100 411389 505938 4.994
6200 419278 515242 4.465
6300 426633 524380 4.546
6400 430207 529828 4.614
6500 444648 545870 4.797
6600 447575 550800 4.732
6700 460808 566160 4.866
6800 463602 570453 4.901
6900 478053 586375 5.038
7000 482131 592356 5.108
7100 488877 601069 5.175
7200 491263 604712 5.368
7300 505850 620451 5.304
7400 511554 629274 5.555
7500 524402 643052 5.48
7600 527120 647600 5.605
7700 537824 660023 5.641
7800 545415 669441 6.734
7900 554736 680866 6.046
8000 555461 683045 5.92
8100 579091 708655 6.132
8200 577647 709074 6.179
8300 587522 721075 8.463
8400 591945 727632 6.469
8500 600732 737579 6.531
8600 610681 749623 6.432
8700 618377 758646 6.464
8800 620387 762788 6.649
8900 636195 778204 6.72
9000 640494 786805 6.848
9100 655087 803073 6.876
9200 655243 805138 7.069
9300 668014 819245 6.949
9400 675667 829348 7.083
9500 683683 839335 8.242
9600 685273 842810 7.407
9700 701323 860152 7.508
9800 709664 871306 7.447
9900 722655 886279 7.604
10000 725670 891005 7.651
