n porównania przestawienia czas
100 2599 4950 0.041
200 10199 19900 0.169
300 22799 44850 0.463
400 40399 79800 0.674
500 62999 124750 0.957
600 90599 179700 1.584
700 123199 244650 1.769
800 160799 319600 2.804
900 203399 404550 3.476
1000 250999 499500 3.795
1100 303599 604450 4.69
1200 361199 719400 5.169
1300 423799 844350 6.155
1400 491399 979300 7.615
1500 563999 1124250 7.941
1600 641599 1279200 8.836
1700 724199 1444150 10.668
1800 811799 1619100 14.508
1900 904399 1804050 13.535
2000 1001999 1999000 14.072
2100 1104599 2203950 16.867
2200 1212199 2418900 17.773
2300 1324799 2643850 20.456
2400 1442399 2878800 22.917
2500 1564999 3123750 22.569
2600 1692599 3378700 25.437
2700 1825199 3643650 26.683
2800 1962799 3918600 28.038
2900 2105399 4203550 30.241
3000 2252999 4498500 34.501
3100 2405599 4803450 34.56
3200 2563199 5118400 36.646
3300 2725799 5443350 43.383
3400 2893399 5778300 46.491
3500 3065999 6123250 43.106
3600 3243599 6478200 45.622
3700 3426199 6843150 50.002
3800 3613799 7218100 49.908
3900 3806399 7603050 55.378
4000 4003999 7998000 54.551
4100 4206599 8402950 58.582
4200 4414199 8817900 62.346
4300 4626799 9242850 65.824
4400 4844399 9677800 69.392
4500 5066999 10122750 70.145
4600 5294599 10577700 74.82
4700 5527199 11042650 75.068
4800 5764799 11517600 83.164
4900 6007399 12002550 97.795
5000 6254999 12497500 94.521
5100 6507599 13002450 92.444
5200 6765199 13517400 97.807
5300 7027799 14042350 101.043
5400 7295399 14577300 97.331
5500 7567999 15122250 102.033
5600 7845599 15677200 104.501
5700 8128199 16242150 104.939
5800 8415799 16817100 110.517
5900 8708399 17402050 113.25
6000 9005999 17997000 120.721
6100 9308599 18601950 125.215
6200 9616199 19216900 124.301
6300 9928799 19841850 131.104
6400 10246399 20476800 132.569
6500 10568999 21121750 137.028
6600 10896599 21776700 140.489
6700 11229199 22441650 143.831
6800 11566799 23116600 150.541
6900 11909399 23801550 157.846
7000 12256999 24496500 158.641
7100 12609599 25201450 162.318
7200 12967199 25916400 171.323
7300 13329799 26641350 169.045
7400 13697399 27376300 189.675
7500 14069999 28121250 180.104
7600 14447599 28876200 182.14
7700 14830199 29641150 188.79
7800 15217799 30416100 194.812
7900 15610399 31201050 197.038
8000 16007999 31996000 204.36
8100 16410599 32800950 208.707
8200 16818199 33615900 211.774
8300 17230799 34440850 216.049
8400 17648399 35275800 222.507
8500 18070999 36120750 226.775
8600 18498599 36975700 230.554
8700 18931199 37840650 236.775
8800 19368799 38715600 241.291
8900 19811399 39600550 249.407
9000 20258999 40495500 258.761
9100 20711599 41400450 268.512
9200 21169199 42315400 267.56
9300 21631799 43240350 270.19
9400 22099399 44175300 277.357
9500 22571999 45120250 293.667
9600 23049599 46075200 287.306
9700 23532199 47040150 293.471
9800 24019799 48015100 304.053
9900 24512399 49000050 310.079
10000 25009999 49995000 314.646
