n przestawienia porównania
100 100 161
100 100 183
100 99 111
100 99 237
100 99 170
100 100 117
100 100 354
100 99 209
100 100 236
100 100 200
100 99 180
100 100 136
100 99 124
100 100 131
100 99 109
100 100 108
100 100 248
100 100 260
100 100 217
100 100 180
100 99 236
100 99 326
100 99 181
100 100 134
100 100 111
100 100 172
100 100 151
100 99 219
100 100 204
100 100 260
100 100 121
100 100 126
100 100 252
100 99 151
100 99 117
100 100 329
100 99 174
100 100 166
100 99 334
100 100 105
100 100 274
100 100 153
100 100 377
100 100 169
100 100 219
100 100 157
100 99 357
100 100 222
100 100 252
100 100 269
100 100 168
100 100 117
100 100 253
100 100 164
100 100 140
100 99 177
100 100 174
100 100 161
100 99 175
100 99 314
100 100 187
100 100 206
100 99 145
100 99 190
100 100 265
100 99 121
100 100 164
100 100 162
100 99 399
100 100 180
100 100 315
100 99 149
100 100 279
100 99 231
100 99 219
100 99 186
100 100 209
100 99 113
100 100 273
100 100 131
100 100 150
100 100 317
100 100 113
100 100 202
100 100 179
100 100 146
100 100 203
100 99 120
100 99 249
100 100 202
100 100 286
100 100 120
100 99 357
100 99 200
100 100 218
100 100 131
100 100 300
100 100 196
100 100 185
100 100 142
200 199 657
200 199 413
200 199 431
200 200 271
200 200 389
200 199 575
200 200 339
200 199 393
200 199 444
200 199 514
200 200 286
200 200 298
200 200 364
200 200 361
200 200 546
200 199 435
200 200 469
200 200 249
200 200 224
200 200 431
200 199 406
200 199 365
200 199 238
200 200 359
200 199 510
200 200 242
200 199 462
200 200 238
200 199 285
200 200 327
200 200 441
200 200 419
200 199 411
200 199 305
200 200 384
200 200 376
200 199 256
200 200 390
200 200 216
200 199 516
200 200 256
200 200 212
200 200 401
200 200 415
200 199 539
200 199 321
200 199 389
200 200 387
200 200 443
200 200 534
200 200 330
200 200 522
200 200 406
200 200 398
200 200 309
200 200 545
200 200 252
200 200 405
200 200 577
200 199 307
200 200 328
200 199 317
200 200 233
200 200 648
200 200 208
200 200 530
200 200 249
200 199 461
200 200 223
200 200 461
200 200 246
200 199 282
200 199 279
200 200 572
200 199 478
200 200 337
200 200 565
200 200 520
200 199 598
200 199 400
200 200 394
200 200 217
200 199 561
200 200 276
200 200 525
200 200 482
200 199 262
200 200 489
200 200 272
200 200 216
200 200 607
200 200 444
200 199 241
200 200 282
200 199 324
200 199 312
200 200 265
200 199 208
200 199 239
200 199 304
300 299 759
300 299 556
300 300 628
300 299 521
300 299 630
300 299 546
300 299 318
300 300 464
300 300 693
300 300 547
300 299 454
300 300 691
300 299 614
300 300 732
300 300 333
300 300 405
300 300 641
300 300 337
300 299 507
300 299 374
300 300 390
300 299 712
300 299 478
300 300 395
300 300 499
300 300 475
300 299 719
300 300 551
300 300 581
300 299 562
300 300 591
300 300 652
300 300 736
300 300 805
300 299 1051
300 300 377
300 299 347
300 299 454
300 300 363
300 300 301
300 300 587
300 299 562
300 300 1579
300 299 640
300 299 743
300 300 812
300 300 701
300 300 555
300 300 420
300 299 782
300 300 402
300 299 1062
300 300 900
300 299 493
300 299 403
300 300 755
300 300 846
300 300 623
300 300 454
300 299 509
300 299 601
300 299 383
300 300 610
300 300 348
300 299 501
300 300 384
300 300 305
300 299 317
300 299 520
300 299 482
300 300 353
300 300 563
300 300 630
300 300 640
300 299 332
300 300 776
300 299 541
300 300 540
300 300 497
300 300 733
300 299 790
300 299 375
300 300 621
300 299 685
300 300 511
300 300 605
300 300 871
300 299 355
300 299 353
300 300 642
300 300 776
300 300 505
300 299 576
300 300 305
300 299 534
300 300 814
300 300 657
300 299 823
300 299 547
300 299 423
400 400 1168
400 400 829
400 399 459
400 400 824
400 400 1151
400 400 993
400 400 977
400 400 874
400 400 634
400 400 678
400 400 1767
400 400 635
400 399 747
400 400 447
400 399 724
400 400 566
400 400 574
400 400 918
400 399 526
400 399 535
400 400 863
400 399 503
400 400 919
400 399 937
400 400 970
400 399 659
400 399 700
400 400 767
400 400 1308
400 400 676
400 399 473
400 399 556
400 400 1243
400 400 1468
400 399 1038
400 399 1129
400 399 591
400 400 595
400 399 730
400 399 633
400 399 729
400 400 779
400 400 1041
400 399 972
400 400 568
400 400 915
400 399 782
400 399 621
400 400 787
400 400 624
400 399 575
400 400 582
400 399 1097
400 400 755
400 399 625
400 400 730
400 400 876
400 400 1241
400 400 964
400 400 485
400 400 405
400 399 1018
400 399 1044
400 399 517
400 400 579
400 400 1418
400 400 439
400 400 1133
400 399 636
400 400 1116
400 400 811
400 400 583
400 400 888
400 400 438
400 400 610
400 400 943
400 400 457
400 400 713
400 399 1222
400 399 987
400 399 1200
400 399 756
400 399 745
400 399 893
400 399 460
400 400 707
400 400 1023
400 400 655
400 400 858
400 400 860
400 400 679
400 399 976
400 400 677
400 400 479
400 400 502
400 400 565
400 399 884
400 400 1219
400 399 760
400 399 588
500 499 1151
500 499 1029
500 500 1063
500 499 615
500 499 941
500 499 872
500 500 550
500 500 1456
500 500 1783
500 500 774
500 499 510
500 500 728
500 499 1232
500 500 514
500 500 891
500 500 651
500 499 576
