n przestawienia porównania
100 200 342
100 129 279
100 200 325
100 104 285
100 101 224
100 240 428
100 75 287
100 125 297
100 156 329
100 151 282
100 157 299
100 198 349
100 196 273
100 189 424
100 243 335
100 183 354
100 176 375
100 105 195
100 188 438
100 107 244
100 126 217
100 108 279
100 138 249
100 136 312
100 195 415
100 133 267
100 127 285
100 117 270
100 101 231
100 199 424
100 155 379
100 280 377
100 157 369
100 183 391
100 223 423
100 101 353
100 112 224
100 152 246
100 89 374
100 209 295
100 167 371
100 226 389
100 107 414
100 106 214
100 127 277
100 112 191
100 98 390
100 156 362
100 118 337
100 50 174
100 112 221
100 255 403
100 102 211
100 170 323
100 173 376
100 137 207
100 275 453
100 260 415
100 151 319
100 77 268
100 121 314
100 175 405
100 229 407
100 151 297
100 102 255
100 164 270
100 198 320
100 180 376
100 66 269
100 159 347
100 93 344
100 172 308
100 285 740
100 154 349
100 113 232
100 124 224
100 122 297
100 177 348
100 130 303
100 219 438
100 187 345
100 165 394
100 208 437
100 144 321
100 189 336
100 259 388
100 78 199
100 151 384
100 108 232
100 177 355
100 99 304
100 224 378
100 92 368
100 162 215
100 124 227
100 226 396
100 89 311
100 128 267
100 118 343
100 129 386
200 100 366
200 365 548
200 251 530
200 582 807
200 218 472
200 286 727
200 269 495
200 293 545
200 330 679
200 397 842
200 260 416
200 329 698
200 362 675
200 303 636
200 356 834
200 183 400
200 376 787
200 552 673
200 725 1000
200 316 686
200 231 520
200 277 492
200 378 659
200 458 764
200 304 580
200 324 588
200 212 548
200 533 907
200 405 741
200 317 526
200 416 737
200 418 822
200 322 720
200 214 456
200 221 377
200 226 547
200 651 1236
200 372 754
200 399 711
200 442 892
200 579 924
200 456 891
200 240 594
200 147 363
200 298 906
200 373 688
200 664 984
200 333 642
200 324 684
200 249 627
200 286 474
200 199 576
200 274 541
200 290 632
200 262 523
200 175 478
200 512 1252
200 282 546
200 327 741
200 283 596
200 272 436
200 245 457
200 433 676
200 138 528
200 491 903
200 237 574
200 680 836
200 327 694
200 436 877
200 565 1031
200 497 911
200 706 1223
200 515 799
200 175 572
200 226 546
200 322 570
200 273 635
200 186 492
200 126 568
200 422 824
200 183 412
200 545 828
200 458 987
200 416 802
200 414 934
200 147 383
200 265 705
200 130 399
200 380 557
200 394 598
200 152 482
200 183 468
200 392 607
200 432 681
200 228 377
200 291 443
200 480 868
200 549 1035
200 484 872
200 342 652
300 292 743
300 372 750
300 207 525
