n przestawienia porównania
100 90 195
100 143 250
100 155 261
100 91 195
100 83 188
100 140 246
100 23 125
100 62 166
100 39 143
100 146 253
100 66 169
100 154 260
100 208 316
100 103 208
100 214 319
100 140 244
100 37 141
100 140 249
100 37 141
100 93 199
100 139 245
100 48 153
100 95 199
100 80 182
100 106 210
100 79 184
100 86 192
100 62 166
100 44 146
100 17 120
100 104 208
100 246 352
100 20 124
100 104 210
100 172 281
100 2 103
100 117 222
100 104 208
100 10 112
100 233 341
100 9 111
100 151 256
100 23 126
100 93 199
100 62 169
100 106 211
100 10 112
100 28 131
100 40 143
100 53 158
100 84 190
100 187 292
100 72 177
100 129 235
100 73 177
100 194 302
100 56 161
100 98 201
100 75 178
100 35 140
100 60 162
100 42 146
100 115 219
100 91 195
100 108 214
100 218 325
100 63 168
100 68 170
100 34 137
100 118 224
100 23 127
100 146 251
100 26 130
100 120 226
100 70 174
100 131 235
100 89 195
100 136 241
100 39 143
100 129 234
100 136 240
100 39 143
100 130 235
100 59 163
100 102 210
100 108 211
100 51 154
100 124 228
100 56 159
100 45 149
100 21 124
100 203 309
100 42 146
100 211 318
100 121 226
100 130 234
100 11 113
100 100 203
100 85 189
100 82 186
200 46 250
200 463 670
200 59 264
200 364 568
200 158 364
200 135 342
200 200 406
200 179 385
200 25 228
200 9 212
200 381 590
200 237 444
200 163 368
200 173 379
200 199 406
200 279 489
200 140 348
200 614 821
200 659 868
200 66 270
200 179 386
200 208 414
200 345 553
200 355 566
200 146 350
200 267 473
200 122 328
200 263 469
200 350 559
200 255 462
200 75 280
200 100 305
200 57 262
200 250 458
200 310 521
200 142 346
200 337 542
200 89 295
200 297 504
200 12 215
200 331 536
200 259 465
200 70 273
200 166 372
200 70 275
200 217 423
200 59 264
200 204 409
200 33 237
200 11 214
200 207 413
200 159 363
200 131 335
200 215 421
200 290 496
200 87 293
200 341 545
200 78 281
200 13 215
200 292 499
200 262 468
200 308 515
200 285 490
200 76 281
200 227 432
200 17 220
200 553 760
200 214 421
200 210 414
200 8 210
200 177 380
200 207 414
200 202 407
200 151 356
200 118 325
200 241 447
200 36 240
200 37 241
200 60 264
200 243 449
200 219 429
200 361 572
200 31 234
200 298 502
200 111 316
200 256 461
200 217 422
200 150 358
200 312 520
200 378 585
200 227 434
200 114 319
200 401 608
200 207 413
200 212 417
200 275 483
200 321 525
200 372 576
200 211 417
200 189 395
300 307 614
300 361 670
300 283 589
300 238 545
300 252 556
300 304 611
300 362 667
300 536 846
300 255 565
300 298 603
300 370 680
300 6 308
300 31 334
300 5 307
300 387 693
300 453 759
300 69 374
300 421 725
300 424 731
300 550 859
300 384 687
300 126 434
300 282 588
300 602 912
300 188 493
300 420 732
300 62 365
300 412 719
300 229 536
300 438 745
300 179 485
300 51 356
300 133 439
300 240 547
300 85 388
300 657 964
300 819 1127
300 348 655
300 345 649
300 890 1198
300 198 504
300 534 840
300 57 362
300 230 536
300 36 341
300 100 403
300 257 563
300 163 467
300 528 835
300 92 396
300 396 704
300 123 429
300 248 556
300 269 574
300 554 861
300 166 471
300 54 358
300 46 352
300 185 489
300 567 877
300 171 475
300 468 772
300 5 307
300 492 796
300 400 707
300 289 594
300 539 847
300 523 832
300 390 697
300 402 709
300 884 1194
300 575 883
300 180 485
300 101 406
300 704 1014
300 64 369
300 153 458
300 498 805
300 666 975
300 149 453
300 191 497
300 352 660
300 239 546
300 152 458
300 501 806
300 169 475
300 46 352
300 772 1078
300 533 840
300 172 477
300 252 557
300 424 730
300 222 529
300 487 791
300 387 694
300 180 484
300 116 420
300 74 378
300 101 406
300 781 1091
400 11 413
400 341 746
400 814 1222
400 272 676
400 90 495
400 208 616
400 317 724
400 123 529
400 441 847
400 470 877
400 74 478
400 633 1044
400 605 1011
400 648 1055
400 520 929
400 394 797
400 435 840
400 134 538
400 575 980
400 490 894
400 207 609
400 1024 1432
400 189 596
400 274 681
400 176 581
400 393 797
400 619 1025
400 913 1325
400 220 627
400 238 643
400 623 1033
400 524 934
400 193 600
400 166 572
400 258 663
400 119 524
400 759 1164
400 507 915
400 124 528
400 457 862
400 586 994
400 499 906
400 124 530
400 98 504
400 426 832
400 190 597
400 514 921
400 487 894
400 305 714
400 516 923
400 476 883
400 678 1084
400 44 450
400 674 1081
400 742 1147
400 540 946
400 589 994
400 115 522
400 718 1127
400 607 1015
400 711 1120
400 326 734
400 2 403
400 417 823
400 519 927
400 327 734
400 495 901
400 247 653
400 245 652
400 178 583
400 306 710
400 454 860
400 370 776
400 579 986
400 556 962
400 274 679
400 594 1003
400 244 647
400 16 420
400 182 587
400 176 582
400 269 675
400 164 571
400 172 575
400 381 785
400 274 679
400 212 620
400 428 835
400 172 576
400 187 595
400 818 1230
400 316 720
400 480 889
400 1227 1635
400 782 1188
400 474 879
400 21 425
400 47 452
400 353 758
400 655 1059
500 548 1055
500 124 630
500 538 1044
500 829 1336
500 390 895
500 507 1013
500 1035 1543
500 291 799
500 31 534
500 597 1100
500 1527 2036
500 603 1110
500 164 670
500 1395 1904
500 617 1123
500 1003 1513
500 524 1030
500 133 637
500 560 1067
500 1478 1990
500 133 641
500 240 745
500 463 970
500 868 1376
500 80 585
500 883 1388
500 817 1326
500 204 707
500 562 1069
500 707 1217
500 306 812
500 560 1067
500 134 639
500 141 646
500 603 1108
500 381 888
500 714 1219
500 162 667
500 463 968
500 379 885
500 860 1367
500 166 673
500 289 796
500 632 1141
500 110 617
500 154 661
500 269 771
500 121 626
500 179 683
500 682 1186
500 176 686
500 678 1189
500 164 667
500 659 1166
500 613 1119
500 96 600
500 5 507
500 356 861
500 1612 2122
500 663 1168
500 654 1161
500 434 946
500 177 682
500 374 879
500 116 620
500 505 1012
500 384 891
500 154 662
500 702 1212
500 866 1376
500 505 1008
500 92 599
500 111 615
500 605 1113
500 436 943
500 68 574
500 737 1246
500 695 1200
500 1215 1725
500 924 1433
500 372 877
500 880 1387
500 46 549
500 481 985
500 1135 1646
500 613 1119
500 130 634
500 654 1160
500 322 827
500 841 1351
500 144 649
500 79 584
500 630 1140
500 508 1014
500 996 1505
500 838 1345
500 809 1314
500 410 920
500 48 551
500 621 1129
600 356 961
600 38 643
600 202 807
600 632 1240
600 307 912
600 836 1445
600 692 1298
600 249 853
600 1590 2198
600 590 1196
600 695 1303
600 902 1512
600 1242 1849
600 1716 2326
600 1618 2230
600 1284 1896
600 563 1170
600 450 1057
600 450 1054
600 58 661
600 531 1140
600 781 1386
600 1052 1659
600 847 1456
600 816 1424
600 141 744
600 426 1033
600 739 1347
600 1116 1726
600 96 700
600 162 770
600 938 1544
600 1039 1645
600 1168 1775
600 288 892
600 121 726
600 436 1044
600 868 1475
600 507 1119
600 741 1350
600 867 1473
600 1420 2026
600 320 924
600 275 880
600 834 1444
600 362 966
600 1460 2067
600 850 1459
600 825 1433
600 927 1533
600 184 788
600 611 1215
600 865 1473
600 733 1341
600 131 736
600 859 1468
600 317 923
600 1174 1781
600 904 1508
600 353 964
600 333 938
600 911 1519
600 411 1018
600 975 1583
600 207 811
600 5 607
600 2078 2688
600 385 990
600 772 1384
600 537 1144
600 697 1308
600 372 978
600 2 603
600 866 1473
600 1085 1697
600 570 1175
600 596 1205
600 1567 2178
600 729 1336
600 783 1391
600 567 1174
600 41 645
600 400 1008
600 222 827
600 253 858
600 389 995
600 211 817
600 51 653
600 555 1164
600 897 1505
600 294 899
600 709 1315
600 612 1220
600 1241 1852
600 2152 2766
600 724 1329
600 1144 1752
600 769 1376
600 873 1484
600 362 966
700 414 1118
700 540 1248
700 1726 2434
700 748 1455
700 247 955
700 1482 2191
700 769 1474
700 1115 1821
700 839 1546
700 356 1062
700 21 725
700 2655 3365
700 816 1524
700 998 1705
700 267 970
700 2542 3255
700 232 938
700 1606 2318
700 500 1206
700 949 1661
700 598 1303
700 1198 1905
700 935 1642
700 1514 2223
700 1375 2087
700 15 718
700 12 715
700 767 1474
700 401 1107
700 184 889
700 1060 1768
700 205 913
700 209 915
700 470 1176
700 807 1515
700 599 1307
700 1234 1945
700 887 1597
700 861 1570
700 173 877
700 105 809
700 74 781
700 1815 2524
700 1310 2020
700 1307 2014
700 136 842
700 1245 1952
700 906 1613
700 1185 1892
700 883 1589
700 669 1373
700 1515 2227
700 271 978
700 930 1636
700 1015 1726
700 640 1348
700 568 1274
700 549 1258
700 655 1359
700 454 1156
700 89 791
700 869 1575
700 573 1279
700 751 1458
700 813 1524
700 302 1006
700 131 836
700 522 1230
700 230 935
700 69 773
700 947 1655
700 1426 2134
700 633 1339
700 1186 1896
700 164 868
700 68 772
700 819 1528
700 772 1479
700 97 803
700 1041 1747
700 111 818
700 300 1011
700 686 1394
700 334 1038
700 751 1461
700 85 788
700 991 1699
700 1366 2073
700 697 1405
700 1453 2162
700 598 1305
700 436 1144
700 426 1135
700 706 1412
700 1495 2206
700 31 734
700 453 1161
700 1005 1715
700 219 922
700 289 995
800 1350 2158
800 570 1381
800 1343 2150
800 463 1270
800 29 834
800 643 1452
800 1236 2045
800 1295 2103
800 956 1769
800 409 1217
800 546 1352
800 136 942
800 2178 2987
800 823 1631
800 19 821
800 745 1552
800 326 1133
800 208 1014
800 433 1240
800 1470 2281
800 1267 2075
800 306 1113
800 56 861
800 1033 1840
800 16 818
800 1050 1854
800 2005 2811
800 1642 2447
800 351 1157
800 1085 1893
800 638 1443
800 890 1698
800 930 1738
800 1264 2074
800 1501 2313
800 533 1338
800 589 1394
800 491 1296
800 17 819
800 446 1255
800 543 1352
800 508 1314
800 2224 3037
800 415 1222
800 47 851
800 1134 1947
800 1927 2737
800 529 1339
800 1697 2504
800 851 1658
800 1100 1910
800 555 1364
800 631 1440
800 490 1294
800 1097 1908
800 10 812
800 733 1540
800 569 1379
800 438 1246
800 1115 1924
800 1331 2136
800 295 1099
800 281 1084
800 353 1163
800 58 861
800 55 860
800 546 1354
800 1458 2267
800 1060 1872
800 1067 1879
800 1060 1868
800 654 1463
800 65 868
800 692 1499
800 284 1091
800 449 1257
800 234 1036
800 1651 2458
800 531 1339
800 434 1236
800 1174 1980
800 1299 2109
800 1882 2693
800 503 1311
800 924 1730
800 1360 2168
800 271 1074
800 2058 2867
800 355 1160
800 1682 2491
800 213 1020
800 276 1080
800 202 1007
800 1088 1895
800 1318 2131
800 312 1119
800 309 1115
800 670 1476
800 962 1773
800 1968 2777
900 412 1318
900 1186 2093
900 313 1219
900 1021 1927
900 890 1796
900 8 910
900 366 1271
900 1009 1915
900 1098 2011
900 882 1790
900 793 1699
900 250 1157
900 1191 2099
900 290 1195
900 1353 2263
900 175 1079
900 988 1897
900 733 1642
900 1720 2632
900 470 1375
900 557 1465
900 921 1828
900 388 1297
900 496 1402
900 1401 2309
900 930 1835
900 1758 2668
900 1316 2222
900 95 999
900 327 1232
900 998 1905
900 374 1281
900 1151 2060
900 48 952
900 1683 2592
900 43 947
900 1790 2698
900 718 1623
900 790 1698
900 735 1642
900 270 1176
900 1391 2298
900 1463 2374
900 1891 2802
900 180 1086
900 1140 2045
900 1493 2399
900 1171 2079
900 873 1780
900 942 1849
900 562 1467
900 589 1498
900 645 1551
900 1303 2212
900 1243 2152
900 769 1674
900 924 1830
900 897 1807
900 1952 2857
900 2221 3134
900 312 1222
900 843 1751
900 1010 1919
900 214 1119
900 883 1788
900 196 1102
900 550 1456
900 1518 2426
900 521 1426
900 216 1124
900 209 1115
900 282 1187
900 528 1436
900 665 1572
900 225 1131
900 750 1658
900 2176 3085
900 1482 2391
900 1485 2396
900 1625 2533
900 853 1761
900 172 1079
900 695 1604
900 279 1185
900 464 1371
900 460 1368
900 393 1298
900 295 1202
900 864 1771
900 359 1264
900 1296 2206
900 660 1566
900 58 961
900 1369 2279
900 1432 2343
900 1963 2871
900 86 991
900 2002 2911
900 2381 3289
900 55 960
1000 2564 3573
1000 1864 2871
1000 1191 2196
1000 1111 2118
1000 2512 3521
1000 3765 4778
1000 1222 2229
1000 243 1250
1000 1244 2252
1000 627 1631
1000 1063 2070
1000 2515 3527
1000 1862 2872
1000 756 1765
1000 177 1184
1000 1013 2021
1000 1934 2944
1000 116 1120
1000 412 1418
1000 858 1864
1000 32 1036
1000 213 1220
1000 69 1073
1000 1004 2013
1000 1264 2276
1000 724 1731
1000 86 1091
1000 1726 2739
1000 211 1216
1000 311 1317
