n przestawienia porównania czas
1200 8689 9084 0.11
100 632 652 0.012
100 663 662 0.011
100 718 726 0.014
100 702 682 0.018
100 782 877 0.014
100 686 708 0.013
100 731 721 0.012
100 725 745 0.011
100 699 749 0.012
100 732 749 0.012
100 687 721 0.011
100 649 684 0.009
100 625 708 0.01
100 750 806 0.012
100 616 616 0.01
100 798 890 0.014
100 686 657 0.011
100 674 768 0.012
100 739 852 0.014
100 728 866 0.012
100 764 842 0.012
100 656 755 0.011
100 619 609 0.01
100 748 781 0.012
100 718 728 0.011
100 639 609 0.01
100 687 795 0.01
100 652 641 0.011
100 640 640 0.01
100 714 788 0.011
100 679 683 0.012
100 694 740 0.011
100 634 675 0.011
100 736 808 0.014
100 693 736 0.013
100 710 730 0.013
100 693 726 0.01
100 647 654 0.011
100 729 765 0.011
100 721 704 0.012
100 680 725 0.017
100 658 645 0.011
100 704 704 0.01
100 649 640 0.011
100 648 625 0.012
100 773 846 0.013
100 628 667 0.01
100 705 746 0.011
100 705 685 0.011
100 754 737 0.011
100 709 765 0.014
100 658 707 0.011
100 620 658 0.01
100 771 779 0.012
100 712 686 0.011
100 630 667 0.01
100 734 750 0.011
100 663 685 0.012
100 816 852 0.013
100 646 711 0.011
100 660 683 0.013
100 804 880 0.012
100 769 802 0.014
100 636 667 0.011
100 762 788 0.013
100 644 658 0.011
100 696 724 0.011
100 770 795 0.012
100 625 591 0.01
100 643 689 0.011
100 779 855 0.013
100 628 597 0.009
100 723 774 0.012
100 720 732 0.014
100 640 617 0.009
100 607 629 0.01
100 712 700 0.011
100 687 732 0.013
100 716 753 0.012
100 703 750 0.011
100 628 706 0.01
100 721 765 0.011
100 638 726 0.01
100 697 774 0.011
100 670 704 0.011
100 779 914 0.013
100 681 709 0.011
100 667 687 0.01
100 708 738 0.012
100 797 854 0.014
100 712 776 0.012
100 691 687 0.01
100 709 769 0.012
100 711 788 0.012
100 723 815 0.012
100 722 762 0.012
100 741 820 0.016
100 734 783 0.012
100 654 714 0.012
200 1559 1672 0.021
200 1406 1477 0.021
200 1391 1399 0.022
200 1573 1611 0.022
200 1347 1391 0.018
200 1488 1509 0.023
200 1306 1238 0.02
200 1390 1440 0.019
200 1295 1288 0.019
200 1428 1366 0.02
200 1377 1349 0.025
200 1324 1303 0.018
200 1513 1617 0.021
200 1295 1261 0.018
200 1361 1432 0.019
200 1507 1552 0.021
200 1489 1512 0.029
200 1407 1313 0.022
200 1402 1556 0.02
200 1525 1540 0.02
200 1347 1314 0.02
200 1430 1445 0.02
200 1425 1477 0.023
200 1446 1426 0.019
200 1462 1604 0.02
200 1489 1507 0.021
200 1350 1389 0.019
200 1457 1571 0.02
200 1308 1275 0.018
200 1396 1324 0.018
200 1476 1511 0.02
200 1414 1500 0.019
200 1376 1447 0.019
200 1459 1476 0.021
200 1336 1379 0.022
200 1398 1582 0.026
200 1295 1320 0.02
200 1387 1522 0.021
200 1455 1449 0.021
200 1371 1425 0.02
200 1403 1431 0.02
200 1470 1430 0.02
200 1406 1482 0.025
200 1426 1545 0.02
200 1318 1318 0.019
200 1452 1617 0.024
200 1408 1471 0.021
200 1423 1415 0.024
200 1458 1448 0.02
200 1412 1453 0.022
200 1378 1510 0.035
200 1389 1410 0.019
200 1443 1478 0.021
200 1440 1406 0.025
200 1288 1262 0.018
200 1362 1565 0.02
200 1524 1494 0.021
200 1469 1436 0.019
200 1355 1493 0.02
200 1495 1596 0.026
200 1349 1480 0.02
200 1445 1487 0.02
200 1418 1502 0.02
200 1291 1319 0.018
200 1415 1449 0.019
200 1355 1341 0.019
200 1527 1671 0.022
200 1512 1531 0.02
200 1345 1501 0.019
200 1451 1632 0.021
200 1429 1491 0.019
200 1355 1358 0.026
200 1352 1460 0.024
200 1309 1259 0.018
200 1320 1294 0.018
200 1420 1384 0.019
200 1412 1568 0.026
200 1414 1380 0.019
200 1328 1370 0.018
200 1311 1372 0.019
200 1343 1511 0.019
200 1522 1524 0.027
200 1419 1622 0.021
200 1226 1361 0.017
200 1363 1424 0.019
200 1382 1338 0.021
200 1403 1482 0.021
200 1436 1497 0.021
200 1489 1722 0.021
200 1404 1404 0.019
200 1264 1377 0.017
200 1550 1553 0.02
200 1372 1457 0.018
200 1509 1593 0.02
200 1338 1444 0.02
200 1478 1504 0.019
200 1268 1388 0.019
200 1463 1574 0.021
200 1389 1556 0.021
200 1312 1411 0.018
300 2107 2200 0.032
300 2183 2231 0.038
300 2177 2213 0.028
300 2170 2084 0.03
300 2084 2187 0.028
300 1934 1902 0.026
300 2188 2152 0.036
300 2112 2250 0.029
300 2204 2294 0.03
300 2090 2471 0.035
300 2176 2160 0.029
300 2100 2216 0.027
300 2378 2372 0.035
300 2111 2275 0.027
300 2187 2257 0.029
300 2268 2264 0.031
300 2295 2268 0.029
300 2108 2229 0.028
300 2199 2337 0.028
300 2027 1935 0.026
300 2199 2397 0.04
300 2038 2003 0.026
300 2027 2053 0.027
300 2114 2173 0.028
300 2064 2029 0.026
300 2232 2466 0.028
300 2240 2219 0.03
300 2048 2310 0.027
300 2253 2338 0.035
300 2160 2204 0.028
300 2195 2380 0.029
300 2198 2222 0.029
300 2186 2220 0.027
300 2041 2278 0.034
300 2225 2215 0.028
300 2130 2310 0.028
300 2124 2281 0.028
300 2216 2222 0.028
300 1875 1816 0.025
300 2101 2233 0.028
300 2153 2282 0.028
300 2138 2285 0.028
300 2131 2211 0.028
300 2306 2292 0.03
300 2201 2386 0.03
300 2053 2085 0.027
300 2137 2304 0.028
300 2194 2398 0.029
300 2030 2020 0.055
300 2278 2158 0.029
300 2081 2240 0.036
300 2131 2115 0.026
300 2164 2216 0.036
300 1939 2047 0.025
300 2109 2183 0.026
300 2073 2116 0.028
300 2114 2238 0.027
300 1991 1925 0.028
300 2142 2379 0.028
300 2179 2181 0.028
300 2065 2021 0.028
300 2172 2255 0.031
300 2073 2102 0.027
300 2232 2198 0.039
300 2216 2294 0.028
300 2142 2183 0.033
300 2138 2266 0.028
300 2163 2181 0.029
300 2085 2271 0.028
300 2178 2489 0.029
300 2166 2108 0.028
300 2188 2321 0.029
300 2236 2424 0.028
300 2007 2069 0.068
300 2080 1997 0.026
300 2204 2243 0.029
300 2118 2242 0.029
300 2236 2278 0.061
300 2266 2408 0.029
300 2102 2299 0.028
300 2053 2240 0.036
300 2026 2011 0.027
300 2156 2249 0.037
300 2064 2299 0.029
300 2059 2252 0.029
300 2007 1989 0.025
300 2235 2373 0.029
300 2270 2372 0.029
300 2084 2207 0.028
300 2141 2128 0.033
300 2219 2275 0.029
300 2045 2004 0.027
300 2192 2289 0.029
300 2134 2175 0.028
300 2247 2413 0.034
300 2015 2041 0.028
300 2151 2312 0.03
300 1914 2165 0.024
300 2288 2347 0.029
300 2072 2225 0.027
400 2721 2873 0.037
400 2968 2976 0.036
400 2813 2909 0.037
400 3007 3043 0.036
400 2685 2782 0.033
400 2878 2811 0.046
400 2951 3047 0.035
400 2595 2567 0.031
400 2837 3070 0.036
400 2929 2878 0.036
400 2548 2530 0.04
400 2750 2748 0.047
400 2939 2877 0.036
400 2879 2952 0.036
400 2740 2655 0.046
400 2876 2947 0.035
400 2916 2938 0.037
400 2832 2844 0.036
400 2747 2804 0.037
400 2934 3100 0.037
400 2867 3062 0.035
400 2640 2455 0.056
400 2961 3222 0.036
400 2699 3042 0.037
400 2954 3083 0.036
400 2691 2916 0.033
400 2895 3327 0.037
400 2970 2960 0.037
400 2926 3033 0.036
400 2914 2920 0.037
400 2733 3059 0.034
400 2799 3001 0.036
400 2958 3180 0.037
400 2913 2867 0.033
400 2778 3012 0.041
400 2693 2838 0.033
400 2978 2877 0.036
400 2847 2683 0.033
400 2956 2957 0.04
400 3011 3304 0.038
400 2869 3060 0.037
400 2818 2738 0.036
400 2721 2671 0.033
400 2961 2920 0.037
400 2993 3151 0.035
400 2973 2990 0.039
400 2926 2966 0.037
400 3004 3110 0.036
400 2929 3189 0.038
400 2887 2926 0.036
400 2809 2971 0.037
400 2778 2890 0.046
400 2942 3200 0.035
400 2704 2695 0.033
400 2885 3158 0.035
400 2691 2681 0.034
400 2908 3167 0.046
400 2804 2956 0.034
400 2731 2584 0.036
400 2787 2929 0.034
400 2786 2962 0.035
400 3061 3112 0.043
400 2926 3010 0.04
400 3034 2995 0.037
400 2855 2795 0.037
400 2892 2938 0.036
400 2902 3158 0.045
400 2985 2931 0.042
400 2951 3063 0.036
400 2649 2780 0.035
400 2839 2913 0.036
400 2722 2949 0.038
400 2620 2571 0.032
400 2862 2802 0.035
400 2997 3096 0.037
400 3010 3114 0.042
400 2937 3131 0.039
400 2747 2813 0.034
400 2634 2579 0.032
400 2783 2853 0.043
400 2989 3044 0.038
400 2848 2929 0.041
400 2828 2894 0.038
400 2998 2987 0.041
400 2766 2995 0.046
400 2901 3003 0.041
400 2697 2958 0.044
400 2893 2877 0.041
400 2757 2780 0.056
400 2961 3222 0.041
400 2818 3066 0.049
400 2813 3245 0.04
400 3078 3184 0.04
400 2913 2928 0.042
400 2703 2880 0.038
400 2875 3072 0.041
400 2848 2975 0.038
400 3004 3055 0.042
400 2764 2842 0.035
400 2598 2507 0.033
500 3647 3830 0.051
500 3474 3610 0.051
500 3602 3608 0.062
500 3511 3669 0.055
500 3572 3406 0.051
500 3600 3531 0.052
500 3476 3344 0.067
500 3293 3513 0.048
500 3802 3988 0.05
500 3575 3586 0.048
500 3508 3761 0.049
