n przestawienia porównania czas
1200 8067 9527 0.125
100 560 568 0.014
100 343 402 0.007
100 573 583 0.012
100 616 653 0.016
100 602 693 0.013
100 651 670 0.012
100 610 608 0.012
100 598 592 0.014
100 597 652 0.011
100 330 373 0.006
100 553 567 0.01
100 631 640 0.013
100 574 559 0.01
100 628 593 0.011
100 292 275 0.005
100 669 685 0.012
100 661 656 0.012
100 560 588 0.011
100 294 282 0.005
100 579 608 0.011
100 329 397 0.006
100 630 729 0.012
100 662 734 0.016
100 632 721 0.011
100 618 704 0.013
100 631 707 0.012
100 578 591 0.011
100 640 696 0.012
100 644 681 0.011
100 565 596 0.01
100 354 339 0.006
100 335 351 0.006
100 623 684 0.012
100 315 343 0.006
100 600 615 0.011
100 600 648 0.011
100 586 618 0.01
100 657 706 0.012
100 567 602 0.01
100 548 572 0.01
100 664 724 0.013
100 676 676 0.015
100 605 656 0.015
100 566 590 0.01
100 564 544 0.01
100 563 567 0.01
100 655 760 0.012
100 633 730 0.014
100 620 693 0.013
100 589 669 0.011
100 620 689 0.011
100 583 617 0.014
100 638 698 0.012
100 583 603 0.011
100 654 660 0.012
100 594 685 0.012
100 325 318 0.006
100 645 667 0.012
100 359 422 0.007
100 506 612 0.01
100 650 655 0.014
100 592 651 0.011
100 590 635 0.012
100 542 597 0.012
100 607 649 0.011
100 603 619 0.014
100 633 707 0.012
100 666 788 0.013
100 642 723 0.011
100 287 335 0.005
100 688 746 0.013
100 648 710 0.012
100 647 730 0.015
100 604 633 0.011
100 671 735 0.014
100 645 712 0.013
100 575 693 0.011
100 584 621 0.014
100 615 682 0.014
100 689 689 0.013
100 541 634 0.016
100 590 668 0.011
100 588 585 0.011
100 590 661 0.011
100 617 657 0.012
100 615 651 0.011
100 530 528 0.009
100 351 371 0.007
100 633 687 0.011
100 618 641 0.011
100 597 641 0.012
100 291 289 0.005
100 639 642 0.014
100 577 697 0.011
100 349 341 0.006
100 652 641 0.012
100 629 727 0.012
100 342 398 0.007
100 527 556 0.009
200 1365 1491 0.023
200 1403 1427 0.025
200 1345 1320 0.023
200 1252 1447 0.02
200 698 656 0.011
200 1300 1369 0.021
200 1232 1251 0.019
200 675 754 0.013
200 1200 1264 0.017
200 1076 1132 0.017
200 1152 1172 0.018
200 1287 1411 0.019
200 680 667 0.011
200 1347 1455 0.022
200 1231 1222 0.019
200 1238 1244 0.02
200 1244 1381 0.02
200 1301 1352 0.02
200 1380 1424 0.022
200 1361 1476 0.021
200 1284 1362 0.02
200 1256 1287 0.019
200 665 703 0.012
200 696 643 0.011
200 1296 1349 0.02
200 1277 1430 0.021
200 1344 1352 0.021
200 1234 1378 0.02
200 1205 1225 0.018
200 1175 1256 0.02
200 1266 1315 0.02
200 1376 1445 0.021
200 1275 1450 0.022
200 1317 1339 0.023
200 1295 1415 0.025
200 1328 1521 0.021
200 1373 1501 0.021
200 1345 1468 0.022
200 1371 1371 0.021
200 1314 1402 0.022
200 1309 1367 0.021
200 1301 1353 0.026
200 1243 1314 0.022
200 1289 1430 0.02
200 1277 1286 0.022
200 1287 1470 0.02
200 1284 1310 0.02
200 1348 1477 0.025
200 658 662 0.01
200 1308 1325 0.022
200 1121 1117 0.018
200 1197 1355 0.019
200 1267 1372 0.02
200 1186 1215 0.017
200 1287 1375 0.02
200 1262 1274 0.024
200 1071 1099 0.016
200 1258 1403 0.02
200 1238 1387 0.02
200 1193 1211 0.025
200 1130 1204 0.02
200 1350 1428 0.022
200 1243 1371 0.021
200 1375 1350 0.025
200 1417 1437 0.023
200 1196 1367 0.02
200 1390 1462 0.023
200 1231 1268 0.019
200 1266 1376 0.02
200 1262 1240 0.02
200 698 725 0.011
200 1369 1478 0.022
200 1419 1565 0.022
200 698 841 0.012
200 1364 1492 0.022
200 1344 1422 0.025
200 1299 1259 0.029
