n przestawienia porównania czas
1200 9175 9858 0.105
100 634 693 0.01
100 694 758 0.014
100 630 687 0.011
100 716 679 0.012
100 714 740 0.012
100 565 553 0.009
100 707 695 0.01
100 690 685 0.009
100 700 737 0.01
100 681 713 0.01
100 652 620 0.01
100 779 815 0.01
100 696 668 0.011
100 609 668 0.017
100 590 677 0.009
100 684 662 0.011
100 662 713 0.009
100 694 693 0.01
100 558 529 0.01
100 599 673 0.012
100 636 626 0.013
100 641 714 0.01
100 645 663 0.01
100 673 691 0.01
100 614 612 0.01
100 642 714 0.011
100 692 689 0.01
100 671 682 0.01
100 618 608 0.009
100 670 679 0.009
100 587 579 0.009
100 581 587 0.009
100 639 696 0.01
100 724 718 0.012
100 690 689 0.009
100 607 621 0.011
100 600 561 0.009
100 768 752 0.01
100 656 637 0.011
100 606 667 0.009
100 648 672 0.012
100 624 629 0.008
100 656 750 0.01
100 602 644 0.01
100 651 726 0.01
100 688 673 0.009
100 689 688 0.01
100 649 653 0.01
100 608 596 0.01
100 727 681 0.01
100 633 668 0.009
100 666 682 0.01
100 695 750 0.01
100 662 701 0.009
100 642 683 0.012
100 654 650 0.009
100 649 638 0.008
100 705 757 0.01
100 621 645 0.011
100 602 614 0.009
100 638 645 0.01
100 680 700 0.01
100 635 616 0.009
100 673 701 0.01
100 680 655 0.009
100 770 771 0.011
100 653 656 0.009
100 716 704 0.011
100 671 740 0.011
100 642 667 0.009
100 659 655 0.009
100 629 705 0.01
100 659 696 0.013
100 634 627 0.013
100 650 666 0.01
100 632 652 0.01
100 699 663 0.011
100 573 556 0.009
100 685 718 0.01
100 581 650 0.009
100 656 723 0.01
100 658 709 0.009
100 639 639 0.009
100 547 624 0.009
100 674 669 0.009
100 722 741 0.01
100 629 631 0.008
100 602 674 0.009
100 743 786 0.011
100 629 653 0.012
100 636 651 0.009
100 676 666 0.011
100 627 699 0.009
100 727 765 0.012
100 599 673 0.009
100 654 630 0.01
100 621 643 0.008
100 654 703 0.01
100 673 635 0.009
200 1406 1475 0.019
200 1446 1443 0.02
200 1486 1565 0.026
200 1364 1361 0.017
200 1374 1482 0.017
200 1375 1423 0.016
200 1389 1386 0.017
200 1340 1364 0.016
200 1384 1447 0.018
200 1325 1296 0.017
200 1293 1374 0.016
200 1425 1456 0.017
200 1592 1611 0.019
200 1352 1341 0.017
200 1407 1472 0.018
