size_n, comp_avg,  comp_maks, reads_avg, reads_maks, h_avg,   h_final   h_maks \n
10000, 23.743500, 31.000000, 12.091400, 97.000000, 17.195350, 13.000000, 23.000000 
10000, 23.773000, 31.000000, 12.066900, 97.000000, 17.213350, 14.000000, 23.000000 
10000, 23.774100, 35.000000, 12.062150, 97.000000, 17.314300, 15.000000, 23.000000 
10000, 23.787400, 41.000000, 12.032000, 97.000000, 17.364650, 14.000000, 23.000000 
10000, 23.781100, 33.000000, 12.061350, 97.000000, 17.600950, 14.000000, 23.000000 
10000, 23.793900, 33.000000, 12.026550, 97.000000, 17.005750, 14.000000, 23.000000 
10000, 23.783300, 33.000000, 12.100600, 97.000000, 17.361500, 14.000000, 23.000000 
10000, 23.773200, 37.000000, 12.071950, 97.000000, 17.519700, 14.000000, 23.000000 
10000, 23.770000, 35.000000, 12.079650, 97.000000, 17.297750, 14.000000, 23.000000 
10000, 23.779100, 37.000000, 12.042950, 97.000000, 17.427250, 14.000000, 23.000000 
10000, 23.809100, 35.000000, 12.059800, 97.000000, 17.381400, 15.000000, 23.000000 
10000, 23.752700, 31.000000, 12.074750, 97.000000, 17.122100, 14.000000, 23.000000 
10000, 23.775400, 31.000000, 12.050200, 97.000000, 17.229100, 14.000000, 23.000000 
10000, 23.748200, 35.000000, 12.092200, 97.000000, 17.579650, 14.000000, 23.000000 
10000, 23.793600, 35.000000, 12.079250, 97.000000, 17.565900, 13.000000, 23.000000 
10000, 23.783500, 39.000000, 12.079300, 97.000000, 17.471200, 14.000000, 23.000000 
10000, 23.759000, 33.000000, 12.076600, 97.000000, 17.254400, 14.000000, 23.000000 
10000, 23.750200, 33.000000, 12.027450, 97.000000, 17.558450, 14.000000, 23.000000 
10000, 23.761800, 33.000000, 12.073800, 97.000000, 17.447850, 14.000000, 23.000000 
10000, 23.794700, 39.000000, 12.065900, 97.000000, 17.332550, 14.000000, 23.000000 
20000, 25.771200, 35.000000, 12.562275, 105.000000, 19.179450, 15.000000, 25.000000 
20000, 25.750800, 41.000000, 12.557950, 105.000000, 18.832125, 15.000000, 25.000000 
20000, 25.779800, 37.000000, 12.538025, 105.000000, 18.844375, 15.000000, 25.000000 
20000, 25.760000, 37.000000, 12.560375, 105.000000, 18.750550, 15.000000, 25.000000 
20000, 25.772950, 39.000000, 12.545775, 105.000000, 19.003450, 15.000000, 25.000000 
20000, 25.788150, 35.000000, 12.495150, 105.000000, 18.926500, 15.000000, 25.000000 
20000, 25.763900, 35.000000, 12.545400, 105.000000, 18.804575, 16.000000, 25.000000 
20000, 25.782200, 33.000000, 12.518025, 105.000000, 18.652600, 15.000000, 25.000000 
20000, 25.760400, 35.000000, 12.531600, 105.000000, 19.010500, 14.000000, 25.000000 
20000, 25.772250, 37.000000, 12.534000, 105.000000, 18.789250, 15.000000, 25.000000 
20000, 25.776950, 35.000000, 12.525525, 105.000000, 18.806075, 15.000000, 25.000000 
20000, 25.783350, 37.000000, 12.538575, 105.000000, 18.697025, 15.000000, 25.000000 
20000, 25.752250, 35.000000, 12.540775, 105.000000, 18.666500, 15.000000, 25.000000 
20000, 25.775500, 37.000000, 12.506225, 105.000000, 18.757425, 15.000000, 25.000000 
20000, 25.782100, 39.000000, 12.509225, 105.000000, 18.833900, 15.000000, 25.000000 
20000, 25.757150, 35.000000, 12.539075, 105.000000, 19.183225, 15.000000, 25.000000 
20000, 25.760050, 35.000000, 12.538075, 105.000000, 19.020150, 15.000000, 25.000000 
20000, 25.783800, 41.000000, 12.523525, 105.000000, 19.228375, 15.000000, 25.000000 
20000, 25.774650, 33.000000, 12.541675, 105.000000, 18.616350, 15.000000, 25.000000 
20000, 25.778450, 35.000000, 12.533875, 105.000000, 18.750050, 15.000000, 25.000000 
30000, 26.878433, 33.000000, 12.757317, 111.000000, 19.278817, 15.000000, 26.000000 
30000, 26.992733, 47.000000, 12.845833, 111.000000, 20.107983, 16.000000, 26.000000 
30000, 26.890733, 37.000000, 12.778950, 111.000000, 19.460267, 15.000000, 26.000000 
30000, 26.890400, 45.000000, 12.809083, 111.000000, 19.256783, 15.000000, 26.000000 
30000, 26.897933, 37.000000, 12.805183, 111.000000, 19.590867, 15.000000, 26.000000 
30000, 26.876000, 35.000000, 12.797000, 111.000000, 19.311217, 15.000000, 26.000000 
30000, 26.906433, 39.000000, 12.811567, 111.000000, 19.754067, 16.000000, 26.000000 
30000, 26.906467, 39.000000, 12.810250, 111.000000, 20.001517, 16.000000, 26.000000 
30000, 26.868567, 35.000000, 12.779567, 111.000000, 19.351950, 15.000000, 26.000000 
30000, 26.873300, 39.000000, 12.781850, 111.000000, 19.302383, 15.000000, 26.000000 
30000, 26.907367, 39.000000, 12.744217, 111.000000, 19.634517, 15.000000, 26.000000 
30000, 26.881300, 37.000000, 12.813600, 111.000000, 19.495450, 16.000000, 26.000000 
30000, 26.901200, 45.000000, 12.791150, 111.000000, 19.967867, 15.000000, 26.000000 
30000, 26.987133, 41.000000, 12.834767, 111.000000, 19.592400, 16.000000, 26.000000 
30000, 26.892600, 37.000000, 12.794867, 111.000000, 19.447067, 15.000000, 26.000000 
30000, 26.997500, 39.000000, 12.860883, 111.000000, 20.411233, 16.000000, 26.000000 
30000, 26.944000, 39.000000, 12.780200, 111.000000, 19.897717, 16.000000, 26.000000 
30000, 26.883567, 39.000000, 12.805700, 111.000000, 19.703783, 15.000000, 26.000000 
30000, 26.904333, 39.000000, 12.785833, 111.000000, 19.637200, 15.000000, 26.000000 
30000, 26.899733, 35.000000, 12.812500, 111.000000, 19.222417, 15.000000, 26.000000 
40000, 27.775850, 41.000000, 13.026525, 113.000000, 20.519813, 16.000000, 27.000000 
40000, 27.781550, 41.000000, 13.024038, 113.000000, 20.422712, 16.000000, 27.000000 
40000, 27.765625, 43.000000, 13.004850, 113.000000, 20.429588, 16.000000, 27.000000 
40000, 27.772325, 43.000000, 13.023088, 113.000000, 21.071325, 16.000000, 27.000000 
40000, 27.772050, 39.000000, 13.010300, 113.000000, 20.316437, 16.000000, 27.000000 
40000, 27.779575, 37.000000, 13.008487, 113.000000, 20.278562, 16.000000, 27.000000 
40000, 27.791025, 47.000000, 13.048288, 113.000000, 20.587438, 16.000000, 27.000000 
40000, 27.785550, 41.000000, 12.983438, 113.000000, 20.284288, 16.000000, 27.000000 
40000, 27.773475, 41.000000, 13.002825, 113.000000, 20.117825, 16.000000, 27.000000 
40000, 27.767950, 35.000000, 13.027725, 113.000000, 20.710712, 16.000000, 27.000000 
40000, 27.767200, 37.000000, 13.033537, 113.000000, 20.377925, 16.000000, 27.000000 
