size_n, comp_avg,  comp_maks, reads_avg, reads_maks, h_avg,   h_final   h_maks \n
10000, 6962.895200, 19999.000000, 1964.092600, 9885.000000, 6430.455700, 6051.000000, 10000.000000 
10000, 6960.578850, 19999.000000, 1961.777800, 9906.000000, 6422.292900, 6020.000000, 10000.000000 
10000, 6975.584400, 19999.000000, 1976.777800, 9972.000000, 6449.128150, 6131.000000, 10000.000000 
10000, 6978.628300, 19999.000000, 1979.825800, 9929.000000, 6428.643500, 6049.000000, 10000.000000 
10000, 6990.942450, 19999.000000, 1992.136050, 9911.000000, 6444.135250, 6127.000000, 10000.000000 
10000, 6958.377600, 19999.000000, 1959.573400, 9888.000000, 6439.200750, 6083.000000, 10000.000000 
10000, 6959.708050, 19999.000000, 1960.904450, 9902.000000, 6427.727650, 6071.000000, 10000.000000 
10000, 6967.794300, 19999.000000, 1968.987550, 9903.000000, 6447.635100, 6134.000000, 10000.000000 
10000, 6970.561700, 19999.000000, 1971.758100, 9877.000000, 6433.559000, 6071.000000, 10000.000000 
10000, 6988.570700, 19999.000000, 1989.768850, 9814.000000, 6412.505700, 6036.000000, 10000.000000 
10000, 6972.998100, 19999.000000, 1974.193400, 9894.000000, 6444.988900, 6093.000000, 10000.000000 
10000, 6949.989450, 19999.000000, 1951.184600, 9982.000000, 6436.458550, 6096.000000, 10000.000000 
10000, 6971.515100, 19999.000000, 1972.709800, 9951.000000, 6458.887250, 6105.000000, 10000.000000 
10000, 6957.343800, 19999.000000, 1958.542350, 9870.000000, 6431.830900, 6028.000000, 10000.000000 
10000, 6974.770350, 19999.000000, 1975.964100, 9871.000000, 6455.344500, 6124.000000, 10000.000000 
10000, 6964.612450, 19999.000000, 1965.810300, 9895.000000, 6431.259600, 6042.000000, 10000.000000 
10000, 6977.890550, 19999.000000, 1979.087250, 9951.000000, 6445.399800, 6065.000000, 10000.000000 
10000, 6987.142200, 19999.000000, 1988.337450, 9971.000000, 6440.663200, 6094.000000, 10000.000000 
10000, 6951.933000, 19999.000000, 1953.128900, 9974.000000, 6435.253500, 6081.000000, 10000.000000 
10000, 6959.258600, 19999.000000, 1960.457800, 9902.000000, 6408.799900, 6015.000000, 10000.000000 
20000, 13914.101125, 39999.000000, 3915.295650, 19807.000000, 12889.221875, 12218.000000, 20000.000000 
20000, 13903.221300, 39999.000000, 3904.418225, 19898.000000, 12853.025025, 12122.000000, 20000.000000 
20000, 13953.581450, 39999.000000, 3954.777925, 19896.000000, 12874.372875, 12140.000000, 20000.000000 
20000, 13951.867350, 39999.000000, 3953.063575, 19890.000000, 12878.505825, 12150.000000, 20000.000000 
20000, 13915.645075, 39999.000000, 3916.843475, 19855.000000, 12852.407175, 12063.000000, 20000.000000 
20000, 13892.156750, 39999.000000, 3893.354050, 19928.000000, 12845.262825, 12107.000000, 20000.000000 
20000, 13901.935075, 39999.000000, 3903.131125, 19833.000000, 12861.506700, 12157.000000, 20000.000000 
20000, 13917.065925, 39999.000000, 3918.263225, 19946.000000, 12859.096550, 12107.000000, 20000.000000 
20000, 13917.017175, 39999.000000, 3918.216675, 19839.000000, 12831.142275, 12019.000000, 20000.000000 
20000, 13930.130075, 39999.000000, 3931.326000, 19872.000000, 12869.392300, 12162.000000, 20000.000000 
20000, 13927.883500, 39999.000000, 3929.080025, 19981.000000, 12873.356725, 12138.000000, 20000.000000 
20000, 13944.529250, 39999.000000, 3945.726525, 19896.000000, 12848.157550, 12108.000000, 20000.000000 
20000, 13944.230900, 39999.000000, 3945.428350, 19892.000000, 12846.028125, 12101.000000, 20000.000000 
20000, 13920.486475, 39999.000000, 3921.684550, 19882.000000, 12858.958300, 12076.000000, 20000.000000 
20000, 13942.524450, 39999.000000, 3943.720000, 19827.000000, 12878.160975, 12177.000000, 20000.000000 
20000, 13922.532250, 39999.000000, 3923.727500, 19897.000000, 12877.641575, 12189.000000, 20000.000000 
20000, 13965.438150, 39999.000000, 3966.633775, 19823.000000, 12892.368950, 12174.000000, 20000.000000 
20000, 13919.156900, 39999.000000, 3920.354800, 19803.000000, 12855.327050, 12083.000000, 20000.000000 
20000, 13939.594175, 39999.000000, 3940.791325, 19793.000000, 12882.816600, 12113.000000, 20000.000000 
20000, 13950.250575, 39999.000000, 3951.447850, 19809.000000, 12869.528575, 12108.000000, 20000.000000 
30000, 20930.561000, 59999.000000, 5931.756267, 29598.000000, 19306.688733, 18283.000000, 30000.000000 
30000, 20921.386550, 59999.000000, 5922.582750, 29770.000000, 19305.738583, 18227.000000, 30000.000000 
30000, 20908.807517, 59999.000000, 5910.004717, 29955.000000, 19291.778667, 18167.000000, 30000.000000 
30000, 20874.429350, 59999.000000, 5875.625317, 29949.000000, 19296.097067, 18241.000000, 30000.000000 
30000, 20957.810250, 59999.000000, 5959.006917, 29881.000000, 19310.782067, 18199.000000, 30000.000000 
30000, 20884.750417, 59999.000000, 5885.947433, 29879.000000, 19301.915817, 18178.000000, 30000.000000 
30000, 20926.507317, 59999.000000, 5927.704033, 29947.000000, 19293.579717, 18196.000000, 30000.000000 
30000, 20926.980667, 59999.000000, 5928.178017, 29939.000000, 19291.443117, 18158.000000, 30000.000000 
30000, 20913.112417, 59999.000000, 5914.310317, 29826.000000, 19308.327783, 18125.000000, 30000.000000 
30000, 20869.123200, 59999.000000, 5870.319683, 29861.000000, 19318.247800, 18210.000000, 30000.000000 
