size_n, comp_avg,  comp_maks, reads_avg, reads_maks, h_avg,   h_final   h_maks \n
10000, 22.009050, 9648.000000, 56.223400, 28939.000000, 2509.844400, 34.000000, 9950.000000 
10000, 21.899800, 8427.000000, 55.931900, 25277.000000, 2510.078650, 35.000000, 9950.000000 
10000, 22.049700, 12810.000000, 56.305050, 38425.000000, 2509.265650, 32.000000, 9950.000000 
10000, 21.990700, 12775.000000, 56.205350, 38322.000000, 2510.305200, 31.000000, 9950.000000 
10000, 22.036350, 6300.000000, 56.281400, 18896.000000, 2509.453800, 35.000000, 9950.000000 
10000, 22.042650, 10419.000000, 56.297950, 31252.000000, 2510.196750, 29.000000, 9950.000000 
10000, 21.983000, 9267.000000, 56.143950, 27796.000000, 2510.821000, 28.000000, 9950.000000 
10000, 21.988250, 9585.000000, 56.175050, 28750.000000, 2510.707600, 31.000000, 9950.000000 
10000, 22.061250, 7896.000000, 56.368900, 23681.000000, 2508.097050, 33.000000, 9950.000000 
10000, 21.972250, 6685.000000, 56.123600, 20052.000000, 2510.095550, 33.000000, 9950.000000 
10000, 22.104650, 12723.000000, 56.485050, 38165.000000, 2509.486650, 31.000000, 9950.000000 
10000, 21.998900, 6477.000000, 56.212250, 19426.000000, 2511.451850, 33.000000, 9950.000000 
10000, 22.025850, 8595.000000, 56.272750, 25780.000000, 2508.749450, 31.000000, 9950.000000 
10000, 22.041800, 5463.000000, 56.304350, 16384.000000, 2510.721600, 30.000000, 9950.000000 
10000, 22.018200, 7737.000000, 56.231200, 23204.000000, 2510.387850, 34.000000, 9950.000000 
10000, 22.086350, 12552.000000, 56.429400, 37651.000000, 2509.501400, 32.000000, 9950.000000 
10000, 22.060200, 6717.000000, 56.340500, 20146.000000, 2509.866600, 34.000000, 9950.000000 
10000, 22.003900, 8403.000000, 56.220550, 25205.000000, 2509.606600, 28.000000, 9950.000000 
10000, 21.990300, 11562.000000, 56.154500, 34682.000000, 2510.208200, 29.000000, 9950.000000 
10000, 22.106400, 14278.000000, 56.488500, 42831.000000, 2508.615550, 30.000000, 9950.000000 
20000, 23.526725, 12237.000000, 60.394750, 36707.000000, 5011.798450, 35.000000, 19950.000000 
20000, 23.521350, 19020.000000, 60.388125, 57053.000000, 5015.142075, 42.000000, 19950.000000 
20000, 23.638650, 29620.000000, 60.687300, 88857.000000, 5009.363125, 44.000000, 19950.000000 
20000, 23.499400, 11964.000000, 60.314100, 35885.000000, 5011.235525, 36.000000, 19950.000000 
20000, 23.584225, 16495.000000, 60.534800, 49482.000000, 5011.369200, 35.000000, 19950.000000 
20000, 23.583275, 19542.000000, 60.535575, 58619.000000, 5011.505325, 37.000000, 19950.000000 
20000, 23.515800, 17424.000000, 60.359725, 52267.000000, 5010.200675, 32.000000, 19950.000000 
20000, 23.510575, 16200.000000, 60.315050, 48596.000000, 5012.227050, 36.000000, 19950.000000 
20000, 23.603375, 25623.000000, 60.583150, 76865.000000, 5011.217200, 34.000000, 19950.000000 
20000, 23.527775, 28635.000000, 60.420300, 85900.000000, 5010.452325, 35.000000, 19950.000000 
20000, 23.537625, 16236.000000, 60.413675, 48703.000000, 5012.056625, 34.000000, 19950.000000 
20000, 23.577000, 18714.000000, 60.533250, 56138.000000, 5010.037175, 35.000000, 19950.000000 
20000, 23.540825, 15894.000000, 60.424050, 47677.000000, 5010.613575, 35.000000, 19950.000000 
20000, 23.519575, 20910.000000, 60.395575, 62725.000000, 5012.375325, 33.000000, 19950.000000 
20000, 23.582925, 24184.000000, 60.545650, 72549.000000, 5009.725825, 36.000000, 19950.000000 
20000, 23.516000, 17961.000000, 60.374800, 53879.000000, 5010.748075, 37.000000, 19950.000000 
20000, 23.583625, 15144.000000, 60.522025, 45427.000000, 5010.961050, 37.000000, 19950.000000 
20000, 23.602800, 11916.000000, 60.624050, 35743.000000, 5009.857200, 32.000000, 19950.000000 
20000, 23.560475, 29949.000000, 60.526050, 89843.000000, 5008.598975, 37.000000, 19950.000000 
20000, 23.533200, 9811.000000, 60.398900, 29430.000000, 5010.390625, 37.000000, 19950.000000 
30000, 24.447567, 34191.000000, 62.935117, 102568.000000, 7511.134083, 38.000000, 29950.000000 
30000, 24.436800, 18954.000000, 62.857633, 56857.000000, 7511.767967, 36.000000, 29950.000000 
30000, 24.483383, 21606.000000, 63.011183, 64814.000000, 7511.421433, 40.000000, 29950.000000 
30000, 24.489867, 36469.000000, 63.024717, 109404.000000, 7509.380050, 37.000000, 29950.000000 
30000, 24.481033, 21382.000000, 62.991267, 64143.000000, 7510.594933, 37.000000, 29950.000000 
30000, 24.481567, 40815.000000, 62.994350, 122441.000000, 7510.600567, 37.000000, 29950.000000 
30000, 24.489417, 34903.000000, 63.037983, 104706.000000, 7511.463167, 38.000000, 29950.000000 
30000, 24.461883, 20407.000000, 62.950567, 61218.000000, 7513.802333, 36.000000, 29950.000000 
30000, 24.424700, 27981.000000, 62.837283, 83939.000000, 7512.459383, 43.000000, 29950.000000 
30000, 24.450300, 25684.000000, 62.901800, 77049.000000, 7513.366167, 38.000000, 29950.000000 
30000, 24.428667, 19176.000000, 62.848133, 57521.000000, 7513.079183, 37.000000, 29950.000000 
30000, 24.423250, 21007.000000, 62.862300, 63018.000000, 7511.987450, 34.000000, 29950.000000 
30000, 24.446183, 30477.000000, 62.895967, 91427.000000, 7514.653583, 37.000000, 29950.000000 
30000, 24.470400, 27601.000000, 62.973717, 82800.000000, 7512.563717, 37.000000, 29950.000000 
30000, 24.486400, 42784.000000, 63.015983, 128349.000000, 7509.944833, 37.000000, 29950.000000 
30000, 24.432850, 23995.000000, 62.865283, 71982.000000, 7512.512333, 34.000000, 29950.000000 
30000, 24.401167, 30954.000000, 62.803500, 92858.000000, 7513.228667, 40.000000, 29950.000000 
30000, 24.369783, 16224.000000, 62.695317, 48668.000000, 7513.611183, 34.000000, 29950.000000 
30000, 24.431700, 38196.000000, 62.853717, 114583.000000, 7511.003400, 33.000000, 29950.000000 
30000, 24.479050, 28779.000000, 62.991117, 86330.000000, 7511.616867, 35.000000, 29950.000000 
40000, 25.129812, 58818.000000, 64.779538, 176450.000000, 10011.530025, 38.000000, 39950.000000 
40000, 25.154050, 53418.000000, 64.845988, 160249.000000, 10010.079650, 40.000000, 39950.000000 
40000, 25.139300, 44256.000000, 64.794350, 132764.000000, 10012.551462, 41.000000, 39950.000000 
40000, 25.112012, 29431.000000, 64.730700, 88290.000000, 10011.645388, 44.000000, 39950.000000 
40000, 25.104363, 46738.000000, 64.715563, 140211.000000, 10012.602563, 41.000000, 39950.000000 
40000, 25.110813, 54160.000000, 64.758588, 162477.000000, 10012.096638, 38.000000, 39950.000000 
40000, 25.146262, 23155.000000, 64.814638, 69462.000000, 10014.259013, 40.000000, 39950.000000 
40000, 25.085037, 49131.000000, 64.665500, 147386.000000, 10016.617513, 48.000000, 39950.000000 
40000, 25.096850, 43776.000000, 64.695625, 131321.000000, 10012.831538, 38.000000, 39950.000000 
40000, 25.147950, 55626.000000, 64.840812, 166874.000000, 10011.044088, 35.000000, 39950.000000 
40000, 25.126250, 58564.000000, 64.780488, 175689.000000, 10011.336425, 40.000000, 39950.000000 
40000, 25.107725, 43935.000000, 64.728088, 131798.000000, 10011.600300, 39.000000, 39950.000000 
40000, 25.134725, 43833.000000, 64.783987, 131492.000000, 10011.889625, 34.000000, 39950.000000 
40000, 25.105963, 35334.000000, 64.719313, 105998.000000, 10011.104700, 42.000000, 39950.000000 
40000, 25.066600, 25024.000000, 64.599688, 75069.000000, 10013.436063, 41.000000, 39950.000000 
40000, 25.121850, 42355.000000, 64.743013, 127062.000000, 10012.794025, 37.000000, 39950.000000 
40000, 25.085612, 20379.000000, 64.662787, 61132.000000, 10011.587863, 37.000000, 39950.000000 
40000, 25.091663, 42816.000000, 64.684625, 128443.000000, 10013.241725, 38.000000, 39950.000000 
40000, 25.090763, 23421.000000, 64.679775, 70259.000000, 10011.742125, 38.000000, 39950.000000 
40000, 25.106088, 38703.000000, 64.712238, 116104.000000, 10012.992425, 42.000000, 39950.000000 
50000, 25.582250, 29043.000000, 66.046670, 87124.000000, 12513.987340, 39.000000, 49950.000000 
50000, 25.662240, 38379.000000, 66.261690, 115132.000000, 12512.172320, 39.000000, 49950.000000 
50000, 25.605940, 57496.000000, 66.091190, 172485.000000, 12516.810480, 38.000000, 49950.000000 
