size_n, comp_avg,  comp_maks, reads_avg, reads_maks, h_avg,   h_final   h_maks \n
10000, 19.660650, 33.000000, 19.894000, 71.000000, 14.425700, 15.000000, 16.000000 
10000, 19.613850, 33.000000, 19.916100, 66.000000, 14.292950, 15.000000, 15.000000 
10000, 19.576700, 33.000000, 19.748700, 66.000000, 14.217750, 15.000000, 15.000000 
10000, 19.646550, 33.000000, 19.851500, 66.000000, 14.331300, 15.000000, 15.000000 
10000, 19.594400, 33.000000, 19.922800, 66.000000, 14.336750, 15.000000, 15.000000 
10000, 19.701000, 33.000000, 19.828600, 65.000000, 14.198650, 15.000000, 15.000000 
10000, 19.690850, 33.000000, 19.937350, 66.000000, 14.401350, 15.000000, 15.000000 
10000, 19.659600, 33.000000, 19.942650, 65.000000, 14.299700, 15.000000, 15.000000 
10000, 19.617550, 33.000000, 19.851450, 66.000000, 14.205800, 15.000000, 15.000000 
10000, 19.677100, 33.000000, 19.910700, 65.000000, 14.322050, 15.000000, 15.000000 
10000, 19.681800, 35.000000, 19.978150, 71.000000, 14.518800, 15.000000, 16.000000 
10000, 19.586300, 33.000000, 19.912400, 66.000000, 14.231650, 15.000000, 15.000000 
10000, 19.671950, 33.000000, 20.019650, 66.000000, 14.321800, 15.000000, 15.000000 
10000, 19.599950, 33.000000, 19.955050, 66.000000, 14.282400, 15.000000, 15.000000 
10000, 19.614300, 33.000000, 19.643500, 66.000000, 14.172400, 15.000000, 15.000000 
10000, 19.679400, 33.000000, 19.979650, 72.000000, 14.289700, 15.000000, 16.000000 
10000, 19.657850, 33.000000, 20.078550, 71.000000, 14.420150, 15.000000, 16.000000 
10000, 19.652350, 33.000000, 19.771550, 65.000000, 14.278650, 15.000000, 15.000000 
10000, 19.600800, 33.000000, 19.873150, 65.000000, 14.250400, 15.000000, 15.000000 
10000, 19.621150, 33.000000, 19.808250, 72.000000, 14.732900, 16.000000, 15.000000 
20000, 21.093400, 37.000000, 20.898900, 74.000000, 15.734950, 16.000000, 17.000000 
20000, 21.143050, 37.000000, 20.903050, 74.000000, 15.882925, 17.000000, 17.000000 
20000, 21.142550, 35.000000, 20.979375, 73.000000, 15.772725, 16.000000, 17.000000 
20000, 21.054950, 35.000000, 20.894575, 71.000000, 15.282800, 16.000000, 16.000000 
20000, 21.084975, 37.000000, 20.933900, 74.000000, 15.852400, 16.000000, 17.000000 
20000, 21.204725, 37.000000, 20.993950, 74.000000, 15.805350, 16.000000, 17.000000 
20000, 21.113525, 35.000000, 20.959400, 73.000000, 15.552000, 16.000000, 17.000000 
20000, 21.217000, 37.000000, 20.940325, 73.000000, 15.973100, 16.000000, 17.000000 
20000, 21.091600, 35.000000, 20.981375, 71.000000, 15.330450, 16.000000, 16.000000 
20000, 21.092400, 35.000000, 20.950400, 72.000000, 15.281600, 16.000000, 16.000000 
20000, 21.130450, 37.000000, 21.094450, 74.000000, 15.706300, 16.000000, 17.000000 
20000, 21.092500, 35.000000, 20.966450, 72.000000, 15.303900, 16.000000, 16.000000 
20000, 21.119600, 37.000000, 20.976450, 74.000000, 15.984825, 17.000000, 17.000000 
20000, 21.184425, 35.000000, 20.994150, 71.000000, 15.420600, 16.000000, 16.000000 
20000, 21.166925, 35.000000, 21.099400, 73.000000, 15.797175, 16.000000, 17.000000 
20000, 21.125550, 37.000000, 21.000425, 74.000000, 15.761325, 16.000000, 17.000000 
20000, 21.209550, 35.000000, 21.028775, 73.000000, 15.651025, 16.000000, 17.000000 
20000, 21.112350, 35.000000, 21.001250, 72.000000, 15.341650, 16.000000, 16.000000 
20000, 21.102175, 35.000000, 20.965025, 71.000000, 15.334075, 16.000000, 16.000000 
20000, 21.208875, 37.000000, 20.966575, 73.000000, 15.802325, 16.000000, 17.000000 
30000, 21.993550, 37.000000, 21.519100, 74.000000, 16.143400, 17.000000, 17.000000 
30000, 22.016050, 37.000000, 21.590050, 74.000000, 16.312733, 17.000000, 17.000000 
30000, 22.050833, 37.000000, 21.682100, 74.000000, 16.291550, 17.000000, 17.000000 
30000, 22.153367, 37.000000, 21.715850, 73.000000, 16.305083, 17.000000, 17.000000 
30000, 21.973800, 37.000000, 21.559950, 74.000000, 16.119833, 17.000000, 17.000000 
30000, 21.985667, 37.000000, 21.659683, 74.000000, 16.174100, 17.000000, 17.000000 
30000, 22.181383, 39.000000, 21.670683, 80.000000, 16.526833, 17.000000, 18.000000 
30000, 22.020483, 37.000000, 21.639283, 74.000000, 16.187633, 17.000000, 17.000000 
30000, 22.082150, 37.000000, 21.580717, 73.000000, 16.341650, 17.000000, 17.000000 
30000, 22.017983, 37.000000, 21.657650, 74.000000, 16.274133, 17.000000, 17.000000 
30000, 22.084067, 37.000000, 21.569983, 73.000000, 16.232800, 17.000000, 17.000000 
30000, 22.041867, 37.000000, 21.616600, 74.000000, 16.239917, 17.000000, 17.000000 
30000, 22.089950, 37.000000, 21.670467, 73.000000, 16.381250, 17.000000, 17.000000 
30000, 22.056533, 37.000000, 21.574217, 74.000000, 16.316083, 17.000000, 17.000000 
30000, 22.026233, 37.000000, 21.532800, 73.000000, 16.245833, 17.000000, 17.000000 
30000, 22.049800, 37.000000, 21.624633, 79.000000, 16.407150, 17.000000, 18.000000 
30000, 21.966050, 37.000000, 21.612550, 74.000000, 16.173517, 17.000000, 17.000000 
30000, 22.021800, 37.000000, 21.564550, 74.000000, 16.218433, 17.000000, 17.000000 
30000, 22.051867, 37.000000, 21.565550, 74.000000, 16.237983, 17.000000, 17.000000 
30000, 21.988500, 37.000000, 21.582250, 74.000000, 16.244750, 17.000000, 17.000000 
40000, 22.594775, 37.000000, 22.023825, 80.000000, 16.911300, 18.000000, 18.000000 
40000, 22.636400, 37.000000, 21.997450, 80.000000, 16.842725, 17.000000, 18.000000 
40000, 22.639837, 39.000000, 22.088738, 79.000000, 16.506963, 17.000000, 18.000000 
40000, 22.655000, 37.000000, 22.020425, 79.000000, 16.531038, 17.000000, 18.000000 
40000, 22.618462, 37.000000, 22.073800, 80.000000, 16.758575, 17.000000, 18.000000 
40000, 22.659263, 39.000000, 22.045513, 80.000000, 16.961625, 18.000000, 18.000000 
40000, 22.671087, 39.000000, 21.954550, 79.000000, 16.864250, 17.000000, 18.000000 
40000, 22.678538, 39.000000, 22.016150, 79.000000, 17.036987, 18.000000, 18.000000 
40000, 22.659350, 39.000000, 22.064800, 80.000000, 16.852287, 17.000000, 18.000000 
40000, 22.668675, 39.000000, 22.049412, 79.000000, 17.104600, 18.000000, 18.000000 
40000, 22.604100, 39.000000, 22.020488, 79.000000, 16.692338, 17.000000, 18.000000 
40000, 22.629900, 39.000000, 21.977113, 79.000000, 16.902787, 17.000000, 18.000000 
40000, 22.609337, 39.000000, 22.088562, 80.000000, 16.666812, 17.000000, 18.000000 
40000, 22.690550, 39.000000, 22.065250, 79.000000, 17.022075, 18.000000, 18.000000 
40000, 22.637712, 39.000000, 22.017937, 80.000000, 16.700225, 17.000000, 18.000000 
40000, 22.822750, 39.000000, 22.277413, 79.000000, 17.173112, 18.000000, 18.000000 
40000, 22.648350, 39.000000, 21.972213, 79.000000, 16.909300, 18.000000, 18.000000 
40000, 22.830738, 39.000000, 22.126000, 79.000000, 17.070650, 18.000000, 18.000000 
40000, 22.661600, 39.000000, 22.070788, 80.000000, 17.064475, 18.000000, 18.000000 
40000, 22.624987, 37.000000, 22.046875, 74.000000, 16.413775, 17.000000, 17.000000 
50000, 23.148390, 39.000000, 22.341450, 80.000000, 17.112030, 18.000000, 18.000000 
