size_n, comp_avg,  comp_maks, reads_avg, reads_maks, h_avg,   h_final   h_maks \n
10000, 25.004450, 67.000000, 10.381700, 64.000000, 30.191750, 30.000000, 34.000000 
10000, 23.729100, 65.000000, 9.913650, 52.000000, 30.223300, 30.000000, 33.000000 
10000, 24.193800, 59.000000, 10.099650, 52.000000, 27.775700, 28.000000, 30.000000 
10000, 24.336000, 61.000000, 10.142350, 55.000000, 28.078700, 28.000000, 31.000000 
10000, 25.693200, 67.000000, 10.584950, 52.000000, 31.019050, 31.000000, 34.000000 
10000, 23.661950, 63.000000, 9.890950, 52.000000, 28.456600, 30.000000, 32.000000 
10000, 24.974700, 63.000000, 10.293550, 55.000000, 29.270250, 30.000000, 32.000000 
10000, 24.146300, 65.000000, 10.017400, 54.000000, 29.315300, 30.000000, 33.000000 
10000, 24.416000, 59.000000, 10.143800, 60.000000, 26.978900, 27.000000, 30.000000 
10000, 23.580050, 57.000000, 9.877350, 60.000000, 26.047150, 26.000000, 29.000000 
20000, 26.411875, 75.000000, 10.807375, 65.000000, 34.805200, 34.000000, 38.000000 
20000, 25.675150, 61.000000, 10.551700, 63.000000, 28.366600, 28.000000, 31.000000 
20000, 25.466875, 59.000000, 10.486300, 63.000000, 28.260050, 28.000000, 30.000000 
20000, 26.557150, 67.000000, 10.847825, 60.000000, 31.703650, 32.000000, 34.000000 
20000, 25.616500, 63.000000, 10.534850, 53.000000, 29.893500, 31.000000, 32.000000 
20000, 26.308150, 63.000000, 10.755525, 53.000000, 29.616675, 30.000000, 32.000000 
20000, 25.952250, 71.000000, 10.634300, 68.000000, 33.457050, 34.000000, 36.000000 
20000, 26.564825, 67.000000, 10.863525, 59.000000, 30.423525, 32.000000, 34.000000 
20000, 25.830500, 69.000000, 10.615575, 60.000000, 32.116375, 32.000000, 35.000000 
20000, 25.323575, 67.000000, 10.425325, 57.000000, 30.654775, 31.000000, 34.000000 
30000, 27.943117, 73.000000, 11.298950, 68.000000, 33.972417, 34.000000, 37.000000 
30000, 28.131950, 73.000000, 11.347150, 59.000000, 33.870183, 34.000000, 37.000000 
30000, 28.201717, 69.000000, 11.399983, 63.000000, 31.848700, 32.000000, 35.000000 
30000, 28.681833, 75.000000, 11.540483, 65.000000, 35.444900, 36.000000, 38.000000 
30000, 29.418550, 79.000000, 11.767683, 69.000000, 37.056967, 38.000000, 40.000000 
30000, 31.227017, 75.000000, 12.417467, 67.000000, 34.742933, 35.000000, 38.000000 
30000, 28.290750, 69.000000, 11.430717, 55.000000, 32.617750, 33.000000, 35.000000 
30000, 26.475567, 67.000000, 10.841767, 57.000000, 31.269467, 32.000000, 34.000000 
30000, 27.396567, 65.000000, 11.133400, 58.000000, 30.201283, 30.000000, 33.000000 
30000, 29.952217, 71.000000, 11.959850, 58.000000, 33.620800, 35.000000, 36.000000 
40000, 28.179550, 71.000000, 11.411938, 61.000000, 32.974463, 33.000000, 36.000000 
40000, 30.385213, 83.000000, 12.138013, 67.000000, 39.003712, 38.000000, 42.000000 
40000, 28.066288, 71.000000, 11.344050, 70.000000, 33.407625, 33.000000, 36.000000 
40000, 29.603337, 77.000000, 11.868187, 85.000000, 36.070400, 37.000000, 39.000000 
40000, 27.868588, 67.000000, 11.266187, 68.000000, 31.598962, 31.000000, 34.000000 
40000, 29.206637, 75.000000, 11.713350, 71.000000, 34.966788, 35.000000, 38.000000 
40000, 28.180013, 75.000000, 11.396100, 69.000000, 34.470312, 35.000000, 38.000000 
40000, 28.657912, 71.000000, 11.573775, 76.000000, 33.143350, 34.000000, 36.000000 
40000, 27.744975, 67.000000, 11.247238, 67.000000, 31.070100, 31.000000, 34.000000 
40000, 28.920775, 69.000000, 11.640788, 79.000000, 32.607075, 33.000000, 35.000000 
50000, 29.869890, 81.000000, 11.944740, 69.000000, 37.558230, 37.000000, 41.000000 
50000, 28.211750, 69.000000, 11.411760, 66.000000, 32.351000, 33.000000, 35.000000 
50000, 28.624090, 73.000000, 11.537480, 66.000000, 33.482840, 32.000000, 37.000000 
50000, 29.320670, 81.000000, 11.780600, 77.000000, 35.526390, 35.000000, 41.000000 
50000, 29.302020, 75.000000, 11.769430, 69.000000, 35.799910, 37.000000, 38.000000 
50000, 30.750800, 75.000000, 12.249770, 76.000000, 34.733380, 34.000000, 38.000000 
50000, 29.909700, 73.000000, 11.979680, 59.000000, 33.040880, 33.000000, 37.000000 
50000, 29.965950, 79.000000, 11.992120, 63.000000, 37.185450, 38.000000, 40.000000 
50000, 30.282460, 77.000000, 12.086510, 68.000000, 35.084780, 35.000000, 39.000000 
50000, 28.712130, 67.000000, 11.554210, 61.000000, 31.759710, 31.000000, 34.000000 
60000, 29.125175, 75.000000, 11.716275, 64.000000, 35.338367, 36.000000, 38.000000 
60000, 29.194642, 75.000000, 11.714642, 61.000000, 34.612183, 33.000000, 38.000000 
60000, 29.951700, 79.000000, 11.969158, 64.000000, 36.069275, 36.000000, 40.000000 
60000, 29.702800, 73.000000, 11.877042, 62.000000, 34.118133, 34.000000, 37.000000 
60000, 31.707742, 83.000000, 12.567600, 68.000000, 38.279542, 37.000000, 42.000000 
60000, 30.753242, 87.000000, 12.249433, 68.000000, 40.093708, 39.000000, 44.000000 
60000, 29.982750, 85.000000, 11.975492, 66.000000, 40.170833, 40.000000, 43.000000 
60000, 28.499317, 71.000000, 11.492925, 62.000000, 32.895425, 34.000000, 36.000000 
60000, 30.149025, 87.000000, 12.050250, 74.000000, 39.098008, 38.000000, 44.000000 
60000, 29.905883, 77.000000, 11.963758, 66.000000, 36.300417, 37.000000, 39.000000 
70000, 30.951950, 77.000000, 12.307621, 71.000000, 37.019921, 37.000000, 39.000000 
70000, 30.341550, 87.000000, 12.102793, 72.000000, 40.634200, 41.000000, 44.000000 
70000, 29.742307, 79.000000, 11.913750, 70.000000, 35.099586, 35.000000, 40.000000 
70000, 32.938550, 77.000000, 12.983843, 72.000000, 37.196636, 38.000000, 39.000000 
70000, 28.944821, 71.000000, 11.625871, 64.000000, 33.072536, 34.000000, 36.000000 
70000, 29.692157, 73.000000, 11.885236, 67.000000, 34.188221, 35.000000, 37.000000 
70000, 30.940586, 77.000000, 12.321521, 72.000000, 35.752786, 36.000000, 39.000000 
70000, 29.619829, 73.000000, 11.862914, 62.000000, 34.312686, 33.000000, 37.000000 
70000, 29.006300, 69.000000, 11.666321, 62.000000, 32.322179, 32.000000, 35.000000 
70000, 29.823279, 73.000000, 11.919486, 75.000000, 34.204943, 35.000000, 37.000000 
80000, 30.057875, 77.000000, 12.021981, 89.000000, 36.512669, 37.000000, 39.000000 
80000, 30.025606, 75.000000, 12.001231, 71.000000, 34.955956, 36.000000, 38.000000 
80000, 29.329044, 73.000000, 11.765756, 76.000000, 34.122775, 35.000000, 37.000000 
80000, 31.166906, 77.000000, 12.362106, 69.000000, 36.676381, 38.000000, 39.000000 
80000, 32.403969, 83.000000, 12.781738, 68.000000, 40.033475, 41.000000, 42.000000 
80000, 29.245344, 73.000000, 11.727800, 82.000000, 33.868175, 34.000000, 37.000000 
80000, 31.170088, 81.000000, 12.370563, 64.000000, 38.388750, 37.000000, 41.000000 
80000, 29.429756, 71.000000, 11.800450, 61.000000, 33.032294, 33.000000, 36.000000 
80000, 29.162125, 73.000000, 11.725262, 66.000000, 33.181537, 33.000000, 37.000000 
80000, 30.153300, 79.000000, 12.061544, 70.000000, 36.859381, 37.000000, 40.000000 
90000, 30.822161, 81.000000, 12.270811, 68.000000, 36.971244, 37.000000, 41.000000 
90000, 30.142122, 85.000000, 12.060006, 87.000000, 41.005828, 41.000000, 43.000000 
90000, 30.374794, 77.000000, 12.113028, 70.000000, 35.360939, 35.000000, 39.000000 
90000, 31.420539, 83.000000, 12.453817, 66.000000, 39.247094, 39.000000, 42.000000 
90000, 31.961817, 83.000000, 12.636733, 67.000000, 40.317011, 41.000000, 42.000000 
90000, 31.309050, 81.000000, 12.436106, 73.000000, 38.482106, 39.000000, 41.000000 
90000, 30.521400, 73.000000, 12.177850, 64.000000, 34.719394, 35.000000, 37.000000 
90000, 29.821450, 77.000000, 11.937461, 75.000000, 35.286389, 36.000000, 39.000000 
90000, 34.303283, 87.000000, 13.423622, 71.000000, 40.891961, 42.000000, 44.000000 
90000, 30.848478, 87.000000, 12.274539, 71.000000, 40.577233, 40.000000, 44.000000 
100000, 30.416970, 73.000000, 12.148955, 66.000000, 34.567465, 35.000000, 37.000000 
100000, 31.664165, 81.000000, 12.547910, 72.000000, 38.252665, 38.000000, 41.000000 
100000, 31.900310, 87.000000, 12.624370, 73.000000, 40.474590, 39.000000, 44.000000 
100000, 32.491240, 83.000000, 12.835585, 74.000000, 39.925475, 40.000000, 42.000000 
100000, 30.723055, 77.000000, 12.246910, 69.000000, 35.161765, 35.000000, 39.000000 
100000, 30.513970, 73.000000, 12.169725, 64.000000, 34.497595, 36.000000, 37.000000 
100000, 33.912785, 83.000000, 13.305965, 73.000000, 38.944750, 40.000000, 42.000000 
100000, 29.677190, 77.000000, 11.870055, 69.000000, 35.017005, 35.000000, 39.000000 
100000, 31.997735, 77.000000, 12.660025, 69.000000, 36.373750, 37.000000, 39.000000 
100000, 30.711630, 73.000000, 12.234770, 71.000000, 34.736875, 35.000000, 37.000000 
