size_n, comp_avg,  comp_maks, reads_avg, reads_maks, h_avg,   h_final   h_maks \n
10000, 35.087600, 95.000000, 91.824450, 250.000000, 33.463050, 29.000000, 34.000000 
10000, 35.156600, 94.000000, 91.970400, 240.000000, 33.549350, 30.000000, 37.000000 
10000, 35.235400, 98.000000, 92.118350, 252.000000, 33.473050, 33.000000, 33.000000 
10000, 35.304400, 93.000000, 92.295300, 240.000000, 33.307950, 27.000000, 35.000000 
10000, 35.366900, 95.000000, 92.483850, 249.000000, 33.537900, 31.000000, 42.000000 
10000, 35.244850, 95.000000, 92.242600, 250.000000, 33.551100, 30.000000, 32.000000 
10000, 35.190500, 102.000000, 92.131350, 276.000000, 33.653450, 28.000000, 35.000000 
10000, 35.293900, 98.000000, 92.309300, 262.000000, 33.511650, 26.000000, 39.000000 
10000, 35.243350, 88.000000, 92.230100, 230.000000, 33.291700, 30.000000, 37.000000 
10000, 35.211750, 95.000000, 92.116200, 245.000000, 33.332050, 29.000000, 38.000000 
10000, 35.333450, 113.000000, 92.458900, 281.000000, 33.498450, 30.000000, 38.000000 
10000, 35.240150, 100.000000, 92.192100, 254.000000, 33.227400, 29.000000, 41.000000 
10000, 35.265850, 108.000000, 92.254350, 284.000000, 33.610450, 31.000000, 37.000000 
10000, 35.295350, 94.000000, 92.342500, 246.000000, 33.404150, 27.000000, 38.000000 
10000, 35.219100, 89.000000, 92.149000, 224.000000, 33.862750, 34.000000, 38.000000 
10000, 35.231700, 94.000000, 92.194850, 245.000000, 33.434300, 32.000000, 35.000000 
10000, 35.156500, 103.000000, 92.008100, 263.000000, 33.210950, 30.000000, 39.000000 
10000, 35.262800, 96.000000, 92.203850, 241.000000, 33.493850, 31.000000, 41.000000 
10000, 35.165250, 95.000000, 92.008250, 245.000000, 33.226600, 31.000000, 45.000000 
10000, 35.163500, 92.000000, 92.010150, 231.000000, 33.261850, 29.000000, 39.000000 
20000, 38.377375, 102.000000, 100.853825, 251.000000, 36.765950, 36.000000, 40.000000 
20000, 38.374025, 96.000000, 100.838350, 246.000000, 37.101925, 34.000000, 43.000000 
20000, 38.371000, 95.000000, 100.900375, 253.000000, 37.256050, 37.000000, 40.000000 
20000, 38.312250, 103.000000, 100.677025, 260.000000, 37.396625, 37.000000, 36.000000 
20000, 38.298850, 96.000000, 100.677075, 241.000000, 37.168150, 33.000000, 48.000000 
20000, 38.355150, 98.000000, 100.822150, 251.000000, 37.121500, 34.000000, 39.000000 
20000, 38.300175, 108.000000, 100.697750, 285.000000, 37.104700, 33.000000, 39.000000 
20000, 38.334875, 104.000000, 100.758725, 265.000000, 37.452225, 34.000000, 46.000000 
20000, 38.373175, 104.000000, 100.839350, 257.000000, 37.317525, 31.000000, 44.000000 
20000, 38.386925, 99.000000, 100.869050, 262.000000, 37.363250, 35.000000, 43.000000 
20000, 38.370775, 98.000000, 100.875425, 252.000000, 36.743750, 34.000000, 47.000000 
20000, 38.304050, 94.000000, 100.695425, 251.000000, 37.130100, 35.000000, 45.000000 
20000, 38.308125, 109.000000, 100.677525, 279.000000, 37.024150, 33.000000, 43.000000 
20000, 38.316975, 93.000000, 100.707575, 239.000000, 37.346500, 40.000000, 42.000000 
20000, 38.343175, 104.000000, 100.782975, 267.000000, 36.888800, 33.000000, 43.000000 
20000, 38.333875, 100.000000, 100.719500, 254.000000, 37.212375, 29.000000, 43.000000 
20000, 38.356900, 104.000000, 100.810175, 267.000000, 37.296550, 36.000000, 44.000000 
20000, 38.318225, 98.000000, 100.730875, 246.000000, 37.140275, 32.000000, 42.000000 
20000, 38.310650, 91.000000, 100.664800, 235.000000, 37.054225, 35.000000, 40.000000 
20000, 38.310525, 102.000000, 100.699575, 251.000000, 37.094800, 36.000000, 47.000000 
30000, 40.182450, 99.000000, 105.840767, 253.000000, 39.329233, 31.000000, 40.000000 
30000, 40.161850, 99.000000, 105.826883, 257.000000, 39.241200, 35.000000, 43.000000 
30000, 40.232783, 107.000000, 105.964400, 266.000000, 39.067383, 35.000000, 42.000000 
30000, 40.234733, 112.000000, 105.978317, 278.000000, 39.198117, 37.000000, 44.000000 
30000, 40.120650, 112.000000, 105.693150, 281.000000, 39.204750, 38.000000, 41.000000 
30000, 40.152467, 117.000000, 105.815050, 308.000000, 39.250883, 34.000000, 45.000000 
30000, 40.112733, 103.000000, 105.646417, 261.000000, 39.136433, 39.000000, 41.000000 
30000, 40.207267, 105.000000, 105.907783, 268.000000, 39.255400, 32.000000, 42.000000 
30000, 40.112517, 100.000000, 105.646333, 261.000000, 39.392617, 37.000000, 42.000000 
30000, 40.182567, 113.000000, 105.835117, 277.000000, 39.315850, 35.000000, 47.000000 
30000, 40.173967, 105.000000, 105.857900, 268.000000, 39.082967, 34.000000, 43.000000 
30000, 40.186883, 111.000000, 105.854717, 276.000000, 39.301550, 39.000000, 41.000000 
30000, 40.128383, 138.000000, 105.713217, 354.000000, 39.023217, 34.000000, 48.000000 
30000, 40.112367, 106.000000, 105.676500, 270.000000, 39.453767, 38.000000, 41.000000 
30000, 40.142433, 110.000000, 105.764317, 281.000000, 39.201950, 35.000000, 46.000000 
30000, 40.135450, 104.000000, 105.742917, 266.000000, 39.219517, 37.000000, 43.000000 
30000, 40.253383, 105.000000, 106.021600, 271.000000, 39.076383, 33.000000, 47.000000 
30000, 40.179633, 117.000000, 105.820133, 304.000000, 39.338100, 33.000000, 51.000000 
30000, 40.137483, 119.000000, 105.729567, 298.000000, 39.123133, 41.000000, 40.000000 
30000, 40.176133, 100.000000, 105.842400, 260.000000, 39.262750, 39.000000, 39.000000 
40000, 41.456775, 107.000000, 109.401038, 278.000000, 40.707775, 39.000000, 46.000000 
40000, 41.413625, 114.000000, 109.254500, 287.000000, 40.906175, 36.000000, 46.000000 
40000, 41.394888, 110.000000, 109.230013, 288.000000, 40.840925, 37.000000, 46.000000 
40000, 41.494287, 108.000000, 109.482975, 281.000000, 40.683388, 38.000000, 40.000000 
40000, 41.519613, 106.000000, 109.521012, 284.000000, 40.701850, 35.000000, 44.000000 
40000, 41.467712, 109.000000, 109.401888, 263.000000, 40.832050, 38.000000, 42.000000 
40000, 41.426700, 106.000000, 109.288938, 274.000000, 40.924350, 36.000000, 44.000000 
40000, 41.460500, 104.000000, 109.374675, 266.000000, 40.574263, 34.000000, 46.000000 
40000, 41.453063, 116.000000, 109.375500, 304.000000, 40.884012, 42.000000, 48.000000 
40000, 41.473213, 109.000000, 109.421738, 274.000000, 40.735025, 32.000000, 43.000000 
40000, 41.434888, 117.000000, 109.323562, 295.000000, 40.763487, 39.000000, 46.000000 
40000, 41.406512, 110.000000, 109.230800, 287.000000, 40.680112, 39.000000, 48.000000 
40000, 41.400188, 116.000000, 109.289300, 304.000000, 40.592062, 38.000000, 42.000000 
40000, 41.431475, 109.000000, 109.319600, 276.000000, 40.758113, 39.000000, 45.000000 
40000, 41.504137, 112.000000, 109.505888, 287.000000, 40.811413, 35.000000, 45.000000 
40000, 41.495800, 112.000000, 109.494250, 289.000000, 40.979450, 38.000000, 40.000000 
40000, 41.455500, 113.000000, 109.367425, 303.000000, 40.694175, 42.000000, 44.000000 
40000, 41.477562, 105.000000, 109.441113, 272.000000, 40.778200, 36.000000, 48.000000 
40000, 41.354413, 106.000000, 109.126413, 281.000000, 40.788050, 38.000000, 44.000000 
40000, 41.497325, 108.000000, 109.465400, 278.000000, 40.584300, 33.000000, 45.000000 
50000, 42.443160, 115.000000, 112.093740, 296.000000, 42.067880, 42.000000, 52.000000 
50000, 42.432450, 113.000000, 112.075600, 286.000000, 41.855490, 38.000000, 45.000000 
50000, 42.462060, 110.000000, 112.166270, 296.000000, 41.804580, 41.000000, 44.000000 
50000, 42.485940, 121.000000, 112.221050, 315.000000, 41.660170, 35.000000, 50.000000 
50000, 42.446830, 107.000000, 112.130790, 278.000000, 41.917410, 40.000000, 43.000000 
50000, 42.420620, 107.000000, 112.057280, 276.000000, 41.950640, 41.000000, 43.000000 
50000, 42.438150, 107.000000, 112.080080, 275.000000, 42.121150, 38.000000, 45.000000 
50000, 42.515650, 109.000000, 112.299940, 277.000000, 41.918890, 40.000000, 48.000000 
50000, 42.482130, 128.000000, 112.211700, 330.000000, 41.914220, 37.000000, 48.000000 
50000, 42.465370, 115.000000, 112.148110, 294.000000, 41.933230, 37.000000, 50.000000 
50000, 42.441960, 112.000000, 112.124160, 296.000000, 42.121360, 48.000000, 44.000000 
50000, 42.503420, 112.000000, 112.272290, 292.000000, 42.079940, 35.000000, 45.000000 
50000, 42.431270, 109.000000, 112.096200, 278.000000, 41.827890, 35.000000, 45.000000 
50000, 42.478550, 111.000000, 112.173900, 288.000000, 41.720000, 36.000000, 48.000000 
50000, 42.508760, 121.000000, 112.267510, 310.000000, 41.789360, 39.000000, 47.000000 
50000, 42.473030, 115.000000, 112.208060, 288.000000, 41.950460, 34.000000, 42.000000 
50000, 42.430810, 121.000000, 112.059220, 311.000000, 41.877830, 40.000000, 51.000000 
50000, 42.442040, 111.000000, 112.102000, 293.000000, 41.933940, 39.000000, 47.000000 
50000, 42.440790, 108.000000, 112.100530, 275.000000, 41.838280, 37.000000, 51.000000 
50000, 42.437100, 121.000000, 112.104850, 322.000000, 41.856750, 38.000000, 54.000000 
60000, 43.283108, 108.000000, 114.426450, 281.000000, 42.949417, 44.000000, 56.000000 
60000, 43.293217, 121.000000, 114.434992, 310.000000, 43.054642, 38.000000, 47.000000 
60000, 43.249233, 113.000000, 114.326850, 296.000000, 42.930967, 40.000000, 50.000000 
60000, 43.272975, 115.000000, 114.408183, 283.000000, 42.889975, 38.000000, 48.000000 
60000, 43.251183, 110.000000, 114.359800, 288.000000, 42.826758, 40.000000, 46.000000 
60000, 43.272367, 114.000000, 114.404542, 294.000000, 42.869317, 44.000000, 46.000000 
60000, 43.311375, 134.000000, 114.504392, 349.000000, 42.954650, 39.000000, 48.000000 
60000, 43.289425, 115.000000, 114.430867, 305.000000, 42.838658, 36.000000, 51.000000 
60000, 43.248150, 106.000000, 114.326583, 269.000000, 42.798208, 44.000000, 48.000000 
60000, 43.271975, 120.000000, 114.427842, 320.000000, 42.864833, 42.000000, 48.000000 
60000, 43.313483, 117.000000, 114.506500, 299.000000, 42.785667, 35.000000, 48.000000 
60000, 43.303708, 122.000000, 114.478092, 324.000000, 42.988933, 44.000000, 45.000000 
60000, 43.263000, 112.000000, 114.363117, 278.000000, 42.954542, 43.000000, 48.000000 
60000, 43.239167, 117.000000, 114.329892, 296.000000, 42.851700, 39.000000, 48.000000 
60000, 43.242125, 113.000000, 114.304025, 287.000000, 42.769067, 40.000000, 46.000000 
60000, 43.256400, 121.000000, 114.370283, 307.000000, 42.906758, 40.000000, 44.000000 
60000, 43.314158, 111.000000, 114.499842, 290.000000, 42.806258, 44.000000, 45.000000 
60000, 43.216717, 111.000000, 114.268792, 279.000000, 42.764025, 37.000000, 44.000000 
60000, 43.305458, 112.000000, 114.468800, 283.000000, 42.997758, 35.000000, 48.000000 
60000, 43.289200, 119.000000, 114.439550, 303.000000, 42.918450, 41.000000, 43.000000 
70000, 43.925771, 111.000000, 116.191621, 291.000000, 43.832514, 37.000000, 50.000000 
70000, 43.989450, 115.000000, 116.381064, 303.000000, 43.592721, 39.000000, 45.000000 
70000, 43.990936, 118.000000, 116.374236, 310.000000, 43.661993, 39.000000, 50.000000 
70000, 43.980986, 116.000000, 116.376986, 298.000000, 43.808907, 43.000000, 49.000000 
70000, 43.993314, 112.000000, 116.382329, 284.000000, 43.821479, 43.000000, 48.000000 
70000, 43.957157, 112.000000, 116.292843, 275.000000, 43.648100, 39.000000, 47.000000 
70000, 43.957979, 120.000000, 116.296107, 312.000000, 43.728850, 42.000000, 51.000000 
70000, 44.005550, 115.000000, 116.436657, 301.000000, 43.628250, 38.000000, 43.000000 
70000, 43.979286, 115.000000, 116.348193, 291.000000, 43.815343, 39.000000, 46.000000 
70000, 44.002421, 118.000000, 116.389750, 305.000000, 43.815779, 37.000000, 45.000000 
70000, 43.991593, 117.000000, 116.395450, 308.000000, 43.619636, 38.000000, 49.000000 
70000, 43.994257, 121.000000, 116.393143, 308.000000, 43.482721, 42.000000, 52.000000 
